customer_unique_id,last_order_date,recency_days,frequency,monetary,segment
cust_000361,2017-12-28,246,6,1684.61,Loyal Customers
cust_000325,2017-02-13,564,4,1680.84,At Risk (was frequent)
cust_010257,2018-02-07,205,3,1668.01,Loyal Customers
cust_011550,2017-12-18,256,5,1664.62,Loyal Customers
cust_010848,2017-10-23,312,8,1657.1,Loyal Customers
cust_000598,2018-02-22,190,7,1635.1,Loyal Customers
cust_006872,2018-02-18,194,5,1617.18,Loyal Customers
cust_004958,2017-12-21,253,3,1605.27,Loyal Customers
cust_011537,2017-12-02,272,3,1602.44,Loyal Customers
cust_017450,2018-01-10,233,6,1587.52,Loyal Customers
cust_016503,2018-02-10,202,4,1576.46,Loyal Customers
cust_009459,2017-11-08,296,8,1563.22,Loyal Customers
cust_011398,2017-04-19,499,4,1561.13,At Risk (was frequent)
cust_005716,2017-11-13,291,4,1546.6,Loyal Customers
cust_012056,2017-12-27,247,6,1522.15,Loyal Customers
cust_011320,2017-10-31,304,4,1509.96,Loyal Customers
cust_001575,2017-02-04,573,2,1506.42,At Risk (was frequent)
cust_017382,2018-03-01,183,3,1503.66,Loyal Customers
cust_011346,2017-11-07,297,4,1503.11,Loyal Customers
cust_015421,2017-11-01,303,3,1484.3,Loyal Customers
cust_010071,2017-04-19,499,6,1482.68,At Risk (was frequent)
cust_015427,2018-02-17,195,5,1460.72,Loyal Customers
cust_013628,2017-12-15,259,4,1446.18,Loyal Customers
cust_012255,2017-10-22,313,3,1441.16,Loyal Customers
cust_013274,2017-11-06,298,5,1439.32,Loyal Customers
cust_005129,2017-07-25,402,4,1438.46,At Risk (was frequent)
cust_006239,2018-02-01,211,4,1434.83,Loyal Customers
cust_013698,2017-10-27,308,3,1434.38,Loyal Customers
cust_009666,2017-11-10,294,3,1433.28,Loyal Customers
cust_012184,2017-12-03,271,4,1423.88,Loyal Customers
cust_006781,2017-10-21,314,3,1419.13,Loyal Customers
cust_018383,2018-02-18,194,6,1415.37,Loyal Customers
cust_010124,2017-11-29,275,4,1413.79,Loyal Customers
cust_008956,2017-05-21,467,3,1412.51,At Risk (was frequent)
cust_008580,2018-02-19,193,7,1408.94,Loyal Customers
cust_017328,2017-12-17,257,2,1407.35,Loyal Customers
cust_006957,2017-08-09,387,3,1406.49,At Risk (was frequent)
cust_013255,2018-03-01,183,6,1404.15,Loyal Customers
cust_002202,2017-12-23,251,4,1391.78,Loyal Customers
cust_013952,2018-02-13,199,5,1389.98,Loyal Customers
cust_017979,2017-11-17,287,4,1389.29,Loyal Customers
cust_014133,2017-11-21,283,2,1383.94,Loyal Customers
cust_017349,2018-01-20,223,4,1382.45,Loyal Customers
cust_010494,2017-09-16,349,4,1381.28,At Risk (was frequent)
cust_018894,2016-04-09,874,2,1378.74,At Risk (was frequent)
cust_016371,2018-02-03,209,6,1376.72,Loyal Customers
cust_001707,2017-01-27,581,3,1372.18,At Risk (was frequent)
cust_016254,2017-03-15,534,2,1357.19,At Risk (was frequent)
cust_017549,2018-01-06,237,5,1354.92,Loyal Customers
cust_008090,2017-10-11,324,3,1353.18,Loyal Customers
cust_016843,2017-05-13,475,5,1351.66,At Risk (was frequent)
cust_012037,2017-04-21,497,4,1345.9,At Risk (was frequent)
cust_009721,2018-01-25,218,6,1345.83,Loyal Customers
cust_005221,2017-09-11,354,6,1340.76,At Risk (was frequent)
cust_013906,2017-12-13,261,4,1330.55,Loyal Customers
cust_015518,2017-04-23,495,6,1327.56,At Risk (was frequent)
cust_005387,2017-09-05,360,5,1320.14,At Risk (was frequent)
cust_013777,2017-12-13,261,5,1315.3,Loyal Customers
cust_014441,2017-11-03,301,5,1312.61,Loyal Customers
cust_002564,2016-06-11,811,1,1312.46,Hibernating / Lost
cust_015824,2017-12-14,260,6,1310.19,Loyal Customers
cust_006202,2017-08-13,383,2,1303.13,At Risk (was frequent)
cust_017643,2018-01-20,223,4,1302.85,Loyal Customers
cust_017291,2018-01-25,218,6,1298.78,Loyal Customers
cust_009635,2017-10-10,325,3,1298.04,Loyal Customers
cust_016037,2018-02-13,199,5,1296.66,Loyal Customers
cust_018679,2017-03-13,536,2,1292.75,At Risk (was frequent)
cust_006174,2017-09-28,337,4,1278.91,Loyal Customers
cust_007125,2017-12-15,259,4,1276.19,Loyal Customers
cust_000261,2016-09-23,707,2,1272.79,At Risk (was frequent)
cust_002766,2018-01-03,240,3,1271.25,Loyal Customers
cust_012840,2017-08-24,372,3,1263.47,At Risk (was frequent)
cust_008354,2017-11-21,283,4,1263.16,Loyal Customers
cust_017610,2017-12-25,249,5,1260.08,Loyal Customers
cust_016759,2017-11-07,297,4,1256.54,Loyal Customers
cust_002264,2017-09-11,354,3,1256.07,At Risk (was frequent)
cust_002563,2017-11-18,286,6,1252.09,Loyal Customers
cust_018429,2017-09-20,345,3,1249.6,At Risk (was frequent)
cust_017539,2018-02-08,204,7,1249.5,Loyal Customers
cust_017315,2018-01-26,217,5,1247.92,Loyal Customers
cust_000681,2017-12-15,259,3,1244.79,Loyal Customers
cust_017266,2018-02-16,196,4,1244.09,Loyal Customers
cust_006796,2017-07-23,404,5,1234.16,At Risk (was frequent)
cust_000487,2017-06-25,432,4,1230.99,At Risk (was frequent)
cust_016149,2017-12-23,251,3,1227.6,Loyal Customers
cust_018486,2016-06-06,816,2,1226.48,At Risk (was frequent)
cust_011965,2017-08-24,372,5,1222.69,At Risk (was frequent)
cust_017747,2016-12-18,621,3,1221.26,At Risk (was frequent)
cust_011827,2018-02-17,195,6,1220.12,Loyal Customers
cust_004128,2018-02-20,192,5,1209.82,Loyal Customers
cust_016424,2018-01-27,216,4,1205.77,Loyal Customers
cust_001941,2017-12-19,255,4,1203.69,Loyal Customers
cust_013096,2016-05-30,823,2,1201.84,At Risk (was frequent)
cust_008569,2017-11-21,283,4,1199.69,Loyal Customers
cust_001976,2017-09-25,340,5,1196.32,At Risk (was frequent)
cust_004778,2017-05-12,476,2,1193.41,At Risk (was frequent)
cust_014315,2018-02-13,199,5,1192.87,Loyal Customers
cust_001774,2018-02-15,197,5,1192.47,Loyal Customers
cust_003998,2018-01-14,229,5,1191.86,Loyal Customers
cust_006229,2017-08-13,383,4,1191.09,At Risk (was frequent)
cust_009900,2017-07-18,409,3,1190.81,At Risk (was frequent)
cust_016892,2017-05-04,484,3,1189.59,At Risk (was frequent)
cust_002613,2017-07-17,410,6,1189.46,At Risk (was frequent)
cust_010647,2017-11-06,298,3,1186.17,Loyal Customers
cust_018616,2017-08-25,371,3,1182.35,At Risk (was frequent)
cust_000201,2017-11-18,286,4,1176.42,Loyal Customers
cust_013146,2017-06-21,436,2,1175.62,At Risk (was frequent)
cust_013058,2018-02-25,187,3,1171.03,Loyal Customers
cust_004505,2017-09-11,354,2,1166.91,At Risk (was frequent)
cust_008045,2017-12-20,254,4,1161.74,Loyal Customers
cust_004296,2017-07-29,398,4,1161.48,At Risk (was frequent)
cust_013021,2017-08-21,375,4,1160.47,At Risk (was frequent)
cust_002089,2017-12-15,259,4,1159.48,Loyal Customers
cust_010943,2018-02-24,188,5,1158.02,Loyal Customers
cust_004107,2017-03-20,529,5,1154.82,At Risk (was frequent)
cust_000504,2017-01-24,584,5,1152.99,At Risk (was frequent)
cust_000366,2017-11-22,282,5,1152.15,Loyal Customers
cust_014651,2017-09-12,353,3,1150.09,At Risk (was frequent)
cust_015574,2017-06-02,455,4,1144.64,At Risk (was frequent)
cust_001337,2017-12-27,247,3,1144.11,Loyal Customers
cust_009043,2016-07-10,782,3,1139.63,At Risk (was frequent)
cust_001456,2018-02-07,205,3,1135.21,Loyal Customers
cust_000627,2018-01-30,213,4,1133.01,Loyal Customers
cust_010171,2017-09-19,346,3,1131.77,At Risk (was frequent)
cust_006283,2016-08-19,742,1,1131.08,Hibernating / Lost
cust_004455,2018-03-02,182,6,1129.0,Loyal Customers
cust_003820,2017-07-13,414,6,1123.4,At Risk (was frequent)
cust_015786,2017-10-20,315,3,1122.47,Loyal Customers
cust_008789,2017-11-16,288,3,1121.19,Loyal Customers
cust_001034,2018-01-06,237,3,1121.02,Loyal Customers
cust_015630,2018-02-15,197,3,1118.73,Loyal Customers
cust_016493,2017-11-06,298,3,1115.44,Loyal Customers
cust_003746,2017-11-01,303,3,1112.37,Loyal Customers
cust_018042,2018-02-15,197,4,1109.27,Loyal Customers
cust_014305,2018-01-28,215,5,1108.46,Loyal Customers
cust_012743,2018-02-09,203,5,1105.36,Loyal Customers
cust_015680,2018-01-26,217,5,1103.77,Loyal Customers
cust_010815,2017-06-27,430,4,1098.87,At Risk (was frequent)
cust_017561,2018-01-16,227,3,1098.79,Loyal Customers
cust_003145,2018-01-29,214,4,1098.03,Loyal Customers
cust_013491,2017-09-15,350,4,1095.92,At Risk (was frequent)
cust_002550,2017-11-10,294,5,1093.16,Loyal Customers
cust_001855,2017-09-30,335,3,1092.04,Loyal Customers
cust_008952,2017-02-27,550,2,1088.9,At Risk (was frequent)
cust_005957,2018-01-09,234,2,1086.36,Loyal Customers
cust_010611,2018-02-18,194,3,1085.75,Loyal Customers
cust_001873,2017-12-05,269,2,1082.63,Loyal Customers
cust_000651,2016-11-16,653,3,1082.52,At Risk (was frequent)
cust_003987,2017-11-17,287,4,1081.94,Loyal Customers
cust_009036,2017-12-31,243,3,1081.16,Loyal Customers
cust_005721,2017-06-27,430,3,1066.81,At Risk (was frequent)
cust_011029,2017-07-04,423,5,1065.45,At Risk (was frequent)
cust_013551,2017-12-02,272,3,1063.53,Loyal Customers
cust_003107,2017-11-11,293,2,1060.78,Loyal Customers
cust_006964,2017-05-17,471,2,1056.35,At Risk (was frequent)
cust_006915,2017-12-18,256,2,1055.5,Loyal Customers
cust_000714,2017-01-26,582,3,1052.89,At Risk (was frequent)
cust_003884,2017-01-02,606,4,1052.18,At Risk (was frequent)
cust_016016,2016-10-11,689,3,1051.06,At Risk (was frequent)
cust_005055,2017-10-11,324,2,1048.99,Loyal Customers
cust_013648,2018-02-17,195,2,1045.55,Loyal Customers
cust_001381,2017-04-10,508,3,1044.19,At Risk (was frequent)
cust_009389,2017-11-06,298,5,1039.57,Loyal Customers
cust_008204,2017-11-02,302,4,1037.41,Loyal Customers
cust_005337,2017-09-16,349,3,1036.68,At Risk (was frequent)
cust_007973,2018-01-12,231,3,1035.06,Loyal Customers
cust_010228,2017-12-20,254,3,1034.71,Loyal Customers
cust_009594,2017-09-01,364,4,1034.44,At Risk (was frequent)
cust_008334,2017-05-27,461,1,1031.37,Hibernating / Lost
cust_004083,2018-02-05,207,4,1030.58,Loyal Customers
cust_010674,2017-03-10,539,2,1029.74,At Risk (was frequent)
cust_007699,2018-01-02,241,5,1026.41,Loyal Customers
cust_012791,2017-10-19,316,3,1025.87,Loyal Customers
cust_007796,2017-09-20,345,3,1018.71,At Risk (was frequent)
cust_017327,2017-08-29,367,1,1014.75,At Risk (was frequent)
cust_011614,2017-10-03,332,3,1010.36,Loyal Customers
cust_010762,2017-11-05,299,2,1008.65,Loyal Customers
cust_011464,2017-08-17,379,2,1005.12,At Risk (was frequent)
cust_005327,2016-03-12,902,2,1003.49,At Risk (was frequent)
cust_007875,2017-08-09,387,3,1003.07,At Risk (was frequent)
cust_002219,2018-02-15,197,5,1001.97,Loyal Customers
cust_011634,2017-10-27,308,3,998.22,Loyal Customers
cust_002752,2018-01-30,213,4,997.81,Loyal Customers
cust_003073,2018-01-04,239,3,997.68,Loyal Customers
cust_018461,2017-07-01,426,3,997.25,At Risk (was frequent)
cust_015626,2017-08-22,374,3,995.0,At Risk (was frequent)
cust_014548,2017-12-29,245,2,994.76,Loyal Customers
cust_016409,2018-02-12,200,3,992.75,Loyal Customers
cust_016703,2017-12-17,257,4,992.71,Loyal Customers
cust_014891,2017-04-09,509,2,991.48,At Risk (was frequent)
cust_009546,2017-11-05,299,6,988.08,Loyal Customers
cust_006761,2017-10-21,314,3,987.27,Loyal Customers
cust_017377,2017-08-02,394,4,986.62,At Risk (was frequent)
cust_005274,2017-11-27,277,2,986.54,Loyal Customers
cust_009372,2017-10-08,327,4,985.06,Loyal Customers
cust_016928,2017-08-09,387,4,984.45,At Risk (was frequent)
cust_014721,2017-06-30,427,4,982.92,At Risk (was frequent)
cust_010804,2018-01-12,231,5,982.27,Loyal Customers
cust_017577,2017-10-24,311,3,978.52,Loyal Customers
cust_002907,2017-07-22,405,2,977.22,At Risk (was frequent)
cust_004939,2018-02-14,198,4,976.81,Loyal Customers
cust_003019,2017-07-07,420,4,973.79,At Risk (was frequent)
cust_004660,2018-01-13,230,6,973.47,Loyal Customers
cust_001064,2016-03-10,904,2,973.21,At Risk (was frequent)
cust_004206,2017-09-12,353,4,971.41,At Risk (was frequent)
cust_007977,2017-06-07,450,3,970.98,At Risk (was frequent)
cust_018578,2018-01-27,216,6,970.71,Loyal Customers
cust_002643,2018-01-24,219,2,969.31,Loyal Customers
cust_012578,2016-06-15,807,2,965.31,At Risk (was frequent)
cust_011609,2017-11-08,296,4,964.26,Loyal Customers
cust_013960,2017-01-31,577,3,961.62,At Risk (was frequent)
cust_016133,2017-07-29,398,3,961.43,At Risk (was frequent)
cust_007383,2017-12-21,253,2,958.34,Loyal Customers
cust_017324,2017-11-05,299,4,957.88,Loyal Customers
cust_017323,2018-02-28,184,3,957.3,Loyal Customers
cust_003810,2017-08-13,383,4,954.62,At Risk (was frequent)
cust_009106,2018-03-01,183,4,954.56,Loyal Customers
cust_001901,2017-03-07,542,4,953.77,At Risk (was frequent)
cust_000203,2017-11-14,290,5,952.39,Loyal Customers
cust_001095,2017-01-23,585,2,951.96,At Risk (was frequent)
cust_010088,2017-06-01,456,3,948.73,At Risk (was frequent)
cust_008317,2016-11-15,654,2,947.74,At Risk (was frequent)
cust_011664,2017-04-14,504,2,947.23,At Risk (was frequent)
cust_005982,2017-09-10,355,5,944.05,At Risk (was frequent)
cust_014180,2017-12-21,253,3,940.26,Loyal Customers
cust_013223,2017-10-15,320,4,938.67,Loyal Customers
cust_015921,2017-08-29,367,3,937.68,At Risk (was frequent)
cust_000791,2017-09-10,355,5,937.62,At Risk (was frequent)
cust_016667,2017-07-03,424,3,937.17,At Risk (was frequent)
cust_013667,2017-12-26,248,4,933.04,Loyal Customers
cust_013581,2017-02-14,563,3,931.21,At Risk (was frequent)
cust_011229,2017-11-11,293,4,930.61,Loyal Customers
cust_014045,2017-08-14,382,3,928.82,At Risk (was frequent)
cust_017104,2018-02-20,192,2,927.25,Loyal Customers
cust_015232,2017-03-04,545,3,920.41,At Risk (was frequent)
cust_007893,2018-02-24,188,5,917.91,Loyal Customers
cust_014830,2018-01-26,217,3,917.68,Loyal Customers
cust_016816,2017-07-23,404,2,916.12,At Risk (was frequent)
cust_005495,2016-07-13,779,2,914.71,At Risk (was frequent)
cust_004731,2017-11-17,287,4,914.66,Loyal Customers
cust_013035,2016-10-19,681,1,913.85,Hibernating / Lost
cust_005410,2018-01-10,233,3,912.9,Loyal Customers
cust_011115,2017-11-05,299,4,911.47,Loyal Customers
cust_013614,2017-11-16,288,2,911.05,Loyal Customers
cust_014142,2017-12-18,256,4,910.54,Loyal Customers
cust_000957,2018-02-05,207,4,904.16,Loyal Customers
cust_018234,2017-11-19,285,3,902.59,Loyal Customers
cust_017006,2016-08-18,743,2,899.9,At Risk (was frequent)
cust_011299,2017-12-25,249,3,896.95,Loyal Customers
cust_004775,2017-11-04,300,3,896.34,Loyal Customers
cust_012526,2017-07-29,398,4,891.29,At Risk (was frequent)
cust_001436,2017-12-24,250,2,890.93,Loyal Customers
cust_016103,2017-05-12,476,3,888.4,At Risk (was frequent)
cust_004798,2016-06-28,794,1,887.57,Hibernating / Lost
cust_011767,2017-12-03,271,6,886.83,Loyal Customers
cust_011453,2017-05-28,460,2,885.78,At Risk (was frequent)
cust_000422,2016-09-19,711,2,877.98,At Risk (was frequent)
cust_014154,2017-01-29,579,3,875.71,At Risk (was frequent)
cust_011334,2017-08-20,376,4,873.08,At Risk (was frequent)
cust_003025,2017-11-30,274,2,872.98,Loyal Customers
cust_008713,2017-11-04,300,6,870.82,Loyal Customers
cust_007384,2017-12-11,263,3,868.44,Loyal Customers
cust_002770,2017-10-20,315,3,868.41,Loyal Customers
cust_013411,2016-03-11,903,1,867.68,Hibernating / Lost
cust_008122,2017-11-13,291,3,867.29,Loyal Customers
cust_016658,2017-07-16,411,3,865.7,At Risk (was frequent)
cust_017101,2018-01-05,238,2,865.23,Loyal Customers
cust_013914,2017-05-14,474,1,864.25,Hibernating / Lost
cust_016121,2016-10-09,691,2,863.15,At Risk (was frequent)
cust_018536,2017-04-26,492,3,862.81,At Risk (was frequent)
cust_009990,2017-01-18,590,3,862.57,At Risk (was frequent)
cust_006772,2017-10-24,311,3,859.64,Loyal Customers
cust_001419,2016-05-04,849,3,857.85,At Risk (was frequent)
cust_002686,2017-11-22,282,4,856.59,Loyal Customers
cust_008396,2016-07-22,770,4,856.26,At Risk (was frequent)
cust_010954,2018-01-15,228,3,854.88,Loyal Customers
cust_009712,2017-08-25,371,1,854.3,Hibernating / Lost
cust_011727,2017-12-29,245,3,852.5,Loyal Customers
cust_000301,2017-08-19,377,2,848.24,At Risk (was frequent)
cust_002371,2016-10-21,679,4,847.88,At Risk (was frequent)
cust_002243,2017-10-30,305,3,847.5,Loyal Customers
cust_016080,2017-05-12,476,4,843.5,At Risk (was frequent)
cust_013281,2016-03-21,893,1,843.05,Hibernating / Lost
cust_008697,2017-11-21,283,4,841.2,Loyal Customers
cust_015218,2017-09-17,348,3,840.96,At Risk (was frequent)
cust_011592,2017-03-13,536,4,839.67,At Risk (was frequent)
cust_005116,2017-07-27,400,1,839.11,Hibernating / Lost
cust_007132,2017-03-27,522,2,837.31,At Risk (was frequent)
cust_013837,2017-10-01,334,2,836.79,Loyal Customers
cust_008013,2017-10-05,330,3,836.09,Loyal Customers
cust_017768,2016-07-19,773,2,835.4,At Risk (was frequent)
cust_018550,2016-05-07,846,1,833.36,At Risk (was frequent)
cust_018379,2018-01-26,217,4,830.86,Loyal Customers
cust_007814,2017-09-19,346,5,830.56,At Risk (was frequent)
cust_014139,2017-05-22,466,3,828.68,At Risk (was frequent)
cust_009641,2017-08-08,388,5,828.67,At Risk (was frequent)
cust_003675,2016-11-04,665,3,827.73,At Risk (was frequent)
cust_009003,2017-05-17,471,1,826.96,Hibernating / Lost
cust_004225,2017-05-13,475,1,824.25,Hibernating / Lost
cust_002369,2018-02-01,211,3,824.01,Loyal Customers
cust_017814,2017-02-17,560,2,823.84,At Risk (was frequent)
cust_010026,2017-11-26,278,2,822.69,Loyal Customers
cust_002427,2017-02-21,556,3,821.45,At Risk (was frequent)
cust_008207,2018-01-05,238,3,819.03,Loyal Customers
cust_007843,2017-05-09,479,5,815.77,At Risk (was frequent)
cust_003041,2017-12-29,245,4,813.58,Loyal Customers
cust_005848,2017-09-06,359,4,810.92,At Risk (was frequent)
cust_009754,2017-09-15,350,2,810.7,At Risk (was frequent)
cust_012727,2018-02-03,209,4,809.78,Loyal Customers
cust_012677,2018-01-23,220,4,808.37,Loyal Customers
cust_014900,2017-10-11,324,3,806.7,Loyal Customers
cust_009219,2018-01-28,215,3,805.79,Loyal Customers
cust_013487,2016-11-07,662,2,805.69,At Risk (was frequent)
cust_014708,2018-02-17,195,5,804.77,Loyal Customers
cust_004694,2017-01-01,607,2,800.63,At Risk (was frequent)
cust_003370,2018-01-07,236,4,799.04,Loyal Customers
cust_017874,2017-07-12,415,3,794.72,At Risk (was frequent)
cust_005776,2016-07-04,788,2,793.54,At Risk (was frequent)
cust_018200,2017-11-27,277,4,793.05,Loyal Customers
cust_001270,2017-08-07,389,1,792.55,Hibernating / Lost
cust_009030,2017-11-10,294,3,792.53,Loyal Customers
cust_018877,2017-12-21,253,4,790.48,Loyal Customers
cust_002353,2017-07-11,416,3,788.36,At Risk (was frequent)
cust_003501,2017-05-31,457,3,787.15,At Risk (was frequent)
cust_012792,2017-12-02,272,2,785.27,Loyal Customers
cust_006979,2018-02-12,200,3,785.05,Loyal Customers
cust_010357,2017-07-31,396,2,783.38,At Risk (was frequent)
cust_015166,2017-09-23,342,4,783.19,At Risk (was frequent)
cust_011514,2016-07-24,768,4,782.13,At Risk (was frequent)
cust_013900,2017-10-18,317,3,781.37,Loyal Customers
cust_017151,2016-08-01,760,2,779.79,At Risk (was frequent)
cust_018704,2017-12-06,268,3,778.91,Loyal Customers
cust_018866,2017-03-29,520,2,774.31,At Risk (was frequent)
cust_016537,2017-07-20,407,2,771.56,At Risk (was frequent)
cust_007475,2017-06-17,440,2,771.24,At Risk (was frequent)
cust_001085,2017-05-01,487,3,764.72,At Risk (was frequent)
cust_015027,2016-10-18,682,4,764.15,At Risk (was frequent)
cust_007810,2017-11-06,298,3,763.32,Loyal Customers
cust_007620,2017-09-11,354,3,760.68,At Risk (was frequent)
cust_000631,2017-07-30,397,3,759.29,At Risk (was frequent)
cust_006834,2017-11-10,294,2,759.22,Loyal Customers
cust_015715,2017-02-28,549,2,757.94,At Risk (was frequent)
cust_008424,2017-03-09,540,3,757.06,At Risk (was frequent)
cust_002210,2017-08-31,365,4,756.29,At Risk (was frequent)
cust_007045,2017-01-25,583,1,755.65,Hibernating / Lost
cust_001570,2017-12-08,266,1,754.73,Potential Loyalists
cust_003570,2018-01-10,233,1,753.86,Potential Loyalists
cust_006178,2018-02-05,207,2,753.14,Loyal Customers
cust_015222,2017-11-27,277,4,753.02,Loyal Customers
cust_013033,2017-12-06,268,3,752.32,Loyal Customers
cust_000479,2018-02-25,187,4,752.19,Loyal Customers
cust_014233,2017-11-01,303,2,750.73,Loyal Customers
cust_010336,2016-11-24,645,3,749.93,At Risk (was frequent)
cust_013371,2017-05-30,458,4,748.77,At Risk (was frequent)
cust_008967,2017-10-11,324,4,748.76,Loyal Customers
cust_010206,2017-12-01,273,5,748.39,Loyal Customers
cust_010813,2017-05-31,457,2,747.74,At Risk (was frequent)
cust_008126,2017-12-20,254,4,747.51,Loyal Customers
cust_002306,2017-07-31,396,3,747.34,At Risk (was frequent)
cust_017380,2017-10-21,314,3,747.29,Loyal Customers
cust_018554,2017-11-02,302,2,746.22,Loyal Customers
cust_013445,2018-02-11,201,3,745.87,Loyal Customers
cust_015094,2018-01-23,220,3,745.8,Loyal Customers
cust_002019,2017-12-16,258,3,744.85,Loyal Customers
cust_017331,2017-12-31,243,2,741.96,Loyal Customers
cust_018499,2017-08-24,372,5,740.56,At Risk (was frequent)
cust_013370,2017-05-12,476,3,740.29,At Risk (was frequent)
cust_004700,2017-11-05,299,1,739.62,Potential Loyalists
cust_017057,2016-11-21,648,2,739.04,At Risk (was frequent)
cust_002961,2017-02-07,570,4,736.8,At Risk (was frequent)
cust_014221,2018-01-31,212,2,734.78,Loyal Customers
cust_017047,2017-12-25,249,3,734.48,Loyal Customers
cust_018014,2017-11-10,294,5,734.42,Loyal Customers
cust_013886,2017-12-16,258,2,733.6,Loyal Customers
cust_008098,2018-01-17,226,4,733.3,Loyal Customers
cust_009684,2017-11-27,277,4,732.69,Loyal Customers
cust_010348,2017-11-14,290,2,730.25,Loyal Customers
cust_003193,2018-01-08,235,2,730.19,Loyal Customers
cust_009339,2016-02-06,937,2,729.02,At Risk (was frequent)
cust_011787,2017-06-29,428,3,727.99,At Risk (was frequent)
cust_004839,2018-02-06,206,5,727.49,Loyal Customers
cust_001225,2016-12-18,621,5,726.5,At Risk (was frequent)
cust_005231,2017-06-27,430,3,724.65,At Risk (was frequent)
cust_011452,2018-01-23,220,5,724.25,Loyal Customers
cust_005686,2016-01-20,954,1,721.61,Hibernating / Lost
cust_010055,2017-10-16,319,1,720.56,Potential Loyalists
cust_000733,2017-01-24,584,2,719.9,At Risk (was frequent)
cust_001257,2017-03-31,518,4,719.21,At Risk (was frequent)
cust_001002,2017-08-23,373,3,719.0,At Risk (was frequent)
cust_003587,2017-11-03,301,3,717.94,Loyal Customers
cust_001081,2017-07-27,400,2,716.26,At Risk (was frequent)
cust_010607,2018-01-15,228,3,716.25,Loyal Customers
