customer_unique_id,last_order_date,frequency,monetary,recency_days,r_score,f_score,m_score,rfm_score,segment,customer_state
cust_000089,2017-02-02,1,152.73,575,2,1,3,6,Hibernating / Lost,SP
cust_000090,2017-11-12,1,12.76,292,3,1,1,5,Potential Loyalists,RJ
cust_000091,2018-08-31,1,17.78,0,4,1,1,6,Potential Loyalists,SP
cust_000092,2016-08-15,1,119.69,746,1,1,3,5,Hibernating / Lost,DF
cust_000093,2016-07-10,1,140.82,782,1,1,3,5,Hibernating / Lost,SP
cust_000094,2018-03-18,8,3162.19,166,3,4,4,11,Loyal Customers,SP
cust_000095,2016-08-28,1,16.32,733,1,1,1,3,Hibernating / Lost,SP
cust_000096,2018-02-08,1,29.41,204,3,1,1,5,Potential Loyalists,AL
cust_000097,2018-05-20,2,245.43,103,4,3,4,11,Loyal Customers,Unknown
cust_000098,2017-10-12,2,91.05,323,3,3,2,8,Loyal Customers,MG
cust_000099,2017-06-27,2,108.35,430,2,3,3,8,At Risk (was frequent),RJ
cust_000100,2017-11-07,1,38.0,297,3,1,1,5,Potential Loyalists,GO
cust_000101,2017-03-16,1,242.36,533,2,1,4,7,Hibernating / Lost,SP
cust_000102,2016-11-28,1,217.5,641,1,1,3,5,Hibernating / Lost,SC
cust_000103,2018-07-28,5,692.12,34,4,4,4,12,Champions,BA
cust_000104,2017-11-25,4,469.54,279,3,4,4,11,Loyal Customers,SP
cust_000105,2018-07-12,1,35.96,50,4,1,1,6,Potential Loyalists,SP
cust_000106,2018-08-16,1,50.7,15,4,1,2,7,Potential Loyalists,RJ
cust_000107,2017-06-10,1,31.43,447,2,1,1,4,Hibernating / Lost,SP
cust_000108,2017-02-12,1,73.79,565,2,1,2,5,Hibernating / Lost,SP
cust_000109,2017-02-27,1,28.06,550,2,1,1,4,Hibernating / Lost,SP
cust_000110,2017-08-03,2,309.47,393,2,3,4,9,At Risk (was frequent),SP
cust_000111,2017-12-24,1,52.32,250,3,1,2,6,Potential Loyalists,RS
cust_000112,2016-11-18,1,463.1,651,1,1,4,6,Hibernating / Lost,RJ
cust_000113,2018-07-12,1,47.01,50,4,1,2,7,Potential Loyalists,MG
cust_000114,2017-09-07,2,45.35,358,2,3,2,7,At Risk (was frequent),RJ
cust_000115,2018-04-23,3,684.33,130,4,4,4,12,Champions,SP
cust_000116,2017-05-17,1,80.82,471,2,1,2,5,Hibernating / Lost,Unknown
cust_000117,2017-02-03,1,34.97,574,2,1,1,4,Hibernating / Lost,PE
cust_000118,2017-12-18,1,31.44,256,3,1,1,5,Potential Loyalists,SP
cust_000119,2016-10-12,1,18.02,688,1,1,1,3,Hibernating / Lost,MG
cust_000120,2017-09-21,2,444.54,344,2,3,4,9,At Risk (was frequent),BA
cust_000121,2016-11-22,2,188.34,647,1,3,3,7,At Risk (was frequent),MG
cust_000122,2017-10-27,1,37.51,308,3,1,1,5,Potential Loyalists,SP
cust_000123,2017-03-17,1,173.72,532,2,1,3,6,Hibernating / Lost,SP
cust_000124,2017-02-06,1,107.47,571,2,1,3,6,Hibernating / Lost,MG
cust_000125,2018-04-28,1,356.39,125,4,1,4,9,Potential Loyalists,PR
cust_000126,2016-12-11,2,57.99,628,1,3,2,6,At Risk (was frequent),PR
cust_000127,2017-07-11,1,25.2,416,2,1,1,4,Hibernating / Lost,RS
cust_000128,2017-07-14,1,36.72,413,2,1,1,4,Hibernating / Lost,SP
cust_000129,2017-10-06,1,122.63,329,3,1,3,7,Potential Loyalists,SC
cust_000130,2017-03-01,1,75.92,548,2,1,2,5,Hibernating / Lost,MG
cust_000131,2017-09-13,1,19.64,352,2,1,1,4,Hibernating / Lost,PB
cust_000132,2018-08-25,3,396.05,6,4,4,4,12,Champions,PR
cust_000133,2016-05-28,1,82.94,825,1,1,2,4,Hibernating / Lost,RJ
cust_000134,2016-11-05,1,35.5,664,1,1,1,3,Hibernating / Lost,RS
cust_000135,2018-04-25,1,71.52,128,4,1,2,7,Potential Loyalists,Unknown
cust_000136,2016-07-30,2,244.54,762,1,3,4,8,At Risk (was frequent),SP
cust_000137,2018-03-01,1,31.28,183,3,1,1,5,Potential Loyalists,RJ
cust_000138,2018-08-27,1,62.03,4,4,1,2,7,Potential Loyalists,SP
cust_000139,2017-10-23,1,179.24,312,3,1,3,7,Potential Loyalists,SP
cust_000140,2016-12-03,1,66.0,636,1,1,2,4,Hibernating / Lost,PR
cust_000141,2017-08-12,1,37.85,384,2,1,1,4,Hibernating / Lost,SP
cust_000142,2017-03-06,1,220.53,543,2,1,3,6,Hibernating / Lost,PR
cust_000143,2016-06-09,1,85.75,813,1,1,2,4,Hibernating / Lost,RJ
cust_000144,2018-04-24,1,137.02,129,4,1,3,8,Potential Loyalists,BA
cust_000145,2016-09-23,1,31.66,707,1,1,1,3,Hibernating / Lost,Unknown
cust_000146,2018-06-03,10,2680.53,89,4,4,4,12,Champions,PR
cust_000147,2016-03-12,1,88.48,902,1,1,2,4,Hibernating / Lost,RJ
cust_000148,2016-11-23,1,31.23,646,1,1,1,3,Hibernating / Lost,MS
cust_000149,2016-07-17,1,15.71,775,1,1,1,3,Hibernating / Lost,SP
cust_000150,2016-08-30,1,11.74,731,1,1,1,3,Hibernating / Lost,SC
cust_000151,2017-12-06,3,217.75,268,3,4,3,10,Loyal Customers,RJ
cust_000152,2016-11-24,1,133.94,645,1,1,3,5,Hibernating / Lost,SP
cust_000153,2017-10-15,3,367.77,320,3,4,4,11,Loyal Customers,MG
cust_000154,2018-04-25,5,1281.51,128,4,4,4,12,Champions,Unknown
cust_000155,2017-07-03,2,162.8,424,2,3,3,8,At Risk (was frequent),SP
cust_000156,2016-12-09,1,119.16,630,1,1,3,5,Hibernating / Lost,SP
cust_000157,2017-05-04,1,49.34,484,2,1,2,5,Hibernating / Lost,SP
cust_000158,2018-01-04,1,36.34,239,3,1,1,5,Potential Loyalists,PB
cust_000159,2016-11-21,1,70.04,648,1,1,2,4,Hibernating / Lost,MG
cust_000160,2016-05-03,1,168.39,850,1,1,3,5,Hibernating / Lost,SP
cust_000161,2017-12-12,1,15.4,262,3,1,1,5,Potential Loyalists,PR
cust_000162,2017-12-11,1,146.0,263,3,1,3,7,Potential Loyalists,MG
cust_000163,2017-12-26,1,45.72,248,3,1,2,6,Potential Loyalists,PR
cust_000164,2017-09-09,1,88.45,356,2,1,2,5,Hibernating / Lost,MG
cust_000165,2016-11-28,2,185.97,641,1,3,3,7,At Risk (was frequent),SP
cust_000166,2016-12-20,1,54.18,619,1,1,2,4,Hibernating / Lost,SP
cust_000167,2016-02-28,1,97.98,915,1,1,3,5,Hibernating / Lost,PR
cust_000168,2018-07-02,4,559.98,60,4,4,4,12,Champions,PR
cust_000169,2018-05-01,5,903.34,122,4,4,4,12,Champions,PR
cust_000170,2017-11-18,1,139.16,286,3,1,3,7,Potential Loyalists,SP
cust_000171,2018-03-23,1,147.21,161,4,1,3,8,Potential Loyalists,SC
cust_000172,2018-08-01,3,498.66,30,4,4,4,12,Champions,RJ
cust_000173,2017-05-14,2,380.72,474,2,3,4,9,At Risk (was frequent),RS
cust_000174,2018-06-25,1,145.22,67,4,1,3,8,Potential Loyalists,SP
cust_000175,2016-08-19,1,100.93,742,1,1,3,5,Hibernating / Lost,PR
cust_000176,2018-03-19,1,93.13,165,3,1,2,6,Potential Loyalists,RN
cust_000177,2017-07-01,1,39.44,426,2,1,1,4,Hibernating / Lost,SP
cust_000178,2017-09-12,1,36.94,353,2,1,1,4,Hibernating / Lost,SC
cust_000179,2018-06-10,1,166.76,82,4,1,3,8,Potential Loyalists,MG
cust_000181,2018-08-16,2,125.46,15,4,3,3,10,Loyal Customers,Unknown
cust_000182,2018-04-05,1,101.06,148,4,1,3,8,Potential Loyalists,PR
cust_000183,2016-04-09,1,22.63,874,1,1,1,3,Hibernating / Lost,SP
cust_000184,2017-05-09,1,137.19,479,2,1,3,6,Hibernating / Lost,SP
cust_000185,2018-02-10,1,60.12,202,3,1,2,6,Potential Loyalists,GO
cust_000186,2018-05-01,3,519.88,122,4,4,4,12,Champions,MG
cust_000187,2016-10-12,1,195.11,688,1,1,3,5,Hibernating / Lost,PR
cust_000188,2016-01-10,1,38.43,964,1,1,1,3,Hibernating / Lost,MG
cust_000189,2017-11-14,1,145.02,290,3,1,3,7,Potential Loyalists,RJ
cust_000190,2017-07-27,1,42.44,400,2,1,1,4,Hibernating / Lost,PR
cust_000191,2017-02-25,1,178.3,552,2,1,3,6,Hibernating / Lost,SP
cust_000192,2016-12-01,1,73.67,638,1,1,2,4,Hibernating / Lost,SP
cust_000193,2018-01-02,2,390.12,241,3,3,4,10,Loyal Customers,MG
cust_000194,2017-09-12,2,127.92,353,2,3,3,8,At Risk (was frequent),ES
cust_000195,2016-03-06,1,106.92,908,1,1,3,5,Hibernating / Lost,SP
cust_000196,2016-06-29,2,182.58,793,1,3,3,7,At Risk (was frequent),MA
cust_000197,2017-11-04,1,116.67,300,3,1,3,7,Potential Loyalists,PR
cust_000198,2018-03-28,2,537.89,156,4,3,4,11,Loyal Customers,RJ
cust_000199,2017-11-22,1,49.49,282,3,1,2,6,Potential Loyalists,Unknown
cust_000200,2016-05-30,1,99.18,823,1,1,3,5,Hibernating / Lost,SP
cust_000201,2017-11-18,4,1176.42,286,3,4,4,11,Loyal Customers,MG
cust_000202,2018-08-04,1,56.61,27,4,1,2,7,Potential Loyalists,SP
cust_000203,2017-11-14,5,952.39,290,3,4,4,11,Loyal Customers,RJ
cust_000204,2016-11-06,1,33.62,663,1,1,1,3,Hibernating / Lost,SP
cust_000205,2016-11-24,1,53.65,645,1,1,2,4,Hibernating / Lost,MT
cust_000206,2018-08-12,1,20.08,19,4,1,1,6,Potential Loyalists,SP
cust_000207,2018-04-29,2,87.27,124,4,3,2,9,Loyal Customers,RJ
cust_000208,2016-06-24,1,26.2,798,1,1,1,3,Hibernating / Lost,SP
cust_000209,2017-02-27,1,104.16,550,2,1,3,6,Hibernating / Lost,SP
cust_000210,2018-08-03,2,286.7,28,4,3,4,11,Loyal Customers,SP
cust_000211,2017-10-30,3,682.68,305,3,4,4,11,Loyal Customers,SC
cust_000212,2017-04-10,2,491.66,508,2,3,4,9,At Risk (was frequent),MG
cust_000213,2018-03-31,1,53.83,153,4,1,2,7,Potential Loyalists,RJ
cust_000214,2016-05-22,1,32.27,831,1,1,1,3,Hibernating / Lost,BA
cust_000215,2016-12-09,2,299.58,630,1,3,4,8,At Risk (was frequent),SP
cust_000216,2016-04-09,1,26.85,874,1,1,1,3,Hibernating / Lost,BA
cust_000217,2018-01-12,1,40.61,231,3,1,1,5,Potential Loyalists,SP
cust_000218,2017-03-29,1,379.15,520,2,1,4,7,Hibernating / Lost,GO
cust_000219,2016-11-12,1,87.89,657,1,1,2,4,Hibernating / Lost,ES
cust_000220,2017-09-24,3,182.81,341,2,4,3,9,At Risk (was frequent),Unknown
cust_000221,2017-11-02,1,68.49,302,3,1,2,6,Potential Loyalists,SP
cust_000222,2017-11-12,1,48.08,292,3,1,2,6,Potential Loyalists,RJ
cust_000223,2018-05-07,4,647.7,116,4,4,4,12,Champions,BA
cust_000224,2016-11-18,1,256.49,651,1,1,4,6,Hibernating / Lost,Unknown
cust_000225,2018-08-15,3,1116.96,16,4,4,4,12,Champions,SP
cust_000226,2016-11-18,1,124.52,651,1,1,3,5,Hibernating / Lost,RJ
cust_000227,2017-08-25,1,15.49,371,2,1,1,4,Hibernating / Lost,SP
cust_000229,2018-07-13,11,7917.99,49,4,4,4,12,Champions,SP
cust_000230,2017-09-17,1,161.81,348,2,1,3,6,Hibernating / Lost,MG
cust_000231,2016-07-22,1,39.35,770,1,1,1,3,Hibernating / Lost,SP
cust_000232,2016-03-27,1,27.07,887,1,1,1,3,Hibernating / Lost,SP
cust_000234,2016-11-22,2,67.16,647,1,3,2,6,At Risk (was frequent),PA
cust_000235,2016-12-27,1,385.27,612,2,1,4,7,Hibernating / Lost,MG
cust_000236,2016-10-25,1,196.5,675,1,1,3,5,Hibernating / Lost,MG
cust_000237,2018-07-09,4,609.37,53,4,4,4,12,Champions,SC
cust_000238,2018-07-23,2,392.39,39,4,3,4,11,Loyal Customers,MG
cust_000239,2018-05-23,1,65.22,100,4,1,2,7,Potential Loyalists,SP
cust_000240,2018-06-10,1,33.71,82,4,1,1,6,Potential Loyalists,MG
cust_000242,2017-10-20,1,287.19,315,3,1,4,8,Potential Loyalists,MG
cust_000243,2017-12-23,1,73.92,251,3,1,2,6,Potential Loyalists,SP
cust_000244,2016-12-26,1,180.14,613,2,1,3,6,Hibernating / Lost,CE
cust_000245,2018-08-08,3,309.0,23,4,4,4,12,Champions,RJ
cust_000246,2017-08-10,1,39.81,386,2,1,1,4,Hibernating / Lost,SP
cust_000247,2017-06-30,2,303.83,427,2,3,4,9,At Risk (was frequent),MG
cust_000248,2016-02-05,1,202.05,938,1,1,3,5,Hibernating / Lost,SP
cust_000249,2017-11-22,2,316.0,282,3,3,4,10,Loyal Customers,RJ
cust_000250,2018-03-11,10,3639.26,173,3,4,4,11,Loyal Customers,GO
cust_000251,2016-11-24,1,135.45,645,1,1,3,5,Hibernating / Lost,PR
cust_000252,2018-08-11,7,3001.32,20,4,4,4,12,Champions,RS
cust_000253,2018-02-21,1,311.21,191,3,1,4,8,Potential Loyalists,RJ
cust_000254,2017-07-29,1,63.5,398,2,1,2,5,Hibernating / Lost,RJ
cust_000255,2018-05-30,1,153.01,93,4,1,3,8,Potential Loyalists,SP
cust_000256,2017-09-15,1,50.77,350,2,1,2,5,Hibernating / Lost,Unknown
cust_000257,2016-12-01,1,102.47,638,1,1,3,5,Hibernating / Lost,MG
cust_000258,2016-01-09,1,22.93,965,1,1,1,3,Hibernating / Lost,SP
cust_000259,2017-05-22,1,105.21,466,2,1,3,6,Hibernating / Lost,SP
cust_000260,2016-07-11,1,53.44,781,1,1,2,4,Hibernating / Lost,SP
cust_000261,2016-09-23,2,1272.79,707,1,3,4,8,At Risk (was frequent),SP
cust_000262,2016-04-24,1,31.75,859,1,1,1,3,Hibernating / Lost,SP
cust_000263,2017-08-07,1,105.3,389,2,1,3,6,Hibernating / Lost,SP
cust_000264,2017-12-04,3,133.36,270,3,4,3,10,Loyal Customers,RJ
cust_000265,2017-11-16,2,201.73,288,3,3,3,9,Loyal Customers,RJ
cust_000266,2017-08-22,1,242.56,374,2,1,4,7,Hibernating / Lost,SP
cust_000267,2018-08-28,3,165.94,3,4,4,3,11,Champions,RJ
cust_000268,2017-09-20,2,353.07,345,2,3,4,9,At Risk (was frequent),BA
cust_000269,2017-06-22,1,56.49,435,2,1,2,5,Hibernating / Lost,SP
cust_000270,2017-12-03,1,120.51,271,3,1,3,7,Potential Loyalists,SP
cust_000271,2018-05-14,2,195.88,109,4,3,3,10,Loyal Customers,RJ
cust_000272,2017-11-13,2,443.09,291,3,3,4,10,Loyal Customers,SP
cust_000273,2017-07-02,1,103.59,425,2,1,3,6,Hibernating / Lost,SP
cust_000274,2017-11-24,2,437.44,280,3,3,4,10,Loyal Customers,RJ
cust_000275,2017-06-30,1,18.16,427,2,1,1,4,Hibernating / Lost,SP
cust_000276,2018-08-29,1,28.17,2,4,1,1,6,Potential Loyalists,BA
cust_000277,2017-03-02,1,30.78,547,2,1,1,4,Hibernating / Lost,Unknown
cust_000278,2018-05-22,3,656.48,101,4,4,4,12,Champions,SP
cust_000279,2017-02-05,1,96.22,572,2,1,2,5,Hibernating / Lost,RJ
cust_000280,2017-12-26,1,24.94,248,3,1,1,5,Potential Loyalists,MT
cust_000281,2018-04-24,1,208.75,129,4,1,3,8,Potential Loyalists,RJ
cust_000282,2017-06-25,2,57.86,432,2,3,2,7,At Risk (was frequent),AL
cust_000283,2018-02-03,6,2812.05,209,3,4,4,11,Loyal Customers,Unknown
cust_000284,2017-01-29,1,63.52,579,2,1,2,5,Hibernating / Lost,SP
cust_000285,2018-04-17,2,414.32,136,4,3,4,11,Loyal Customers,SP
cust_000287,2016-08-27,1,77.31,734,1,1,2,4,Hibernating / Lost,SC
cust_000288,2018-04-12,2,155.61,141,4,3,3,10,Loyal Customers,SP
cust_000289,2017-12-21,2,203.71,253,3,3,3,9,Loyal Customers,RS
cust_000290,2018-06-01,1,86.33,91,4,1,2,7,Potential Loyalists,RJ
cust_000291,2016-03-07,1,87.31,907,1,1,2,4,Hibernating / Lost,BA
cust_000292,2018-01-01,2,302.8,242,3,3,4,10,Loyal Customers,PR
cust_000293,2017-03-28,1,17.58,521,2,1,1,4,Hibernating / Lost,SP
cust_000294,2017-12-30,1,47.86,244,3,1,2,6,Potential Loyalists,SP
cust_000295,2016-06-21,1,18.38,801,1,1,1,3,Hibernating / Lost,RJ
cust_000296,2017-04-20,1,197.42,498,2,1,3,6,Hibernating / Lost,SC
cust_000297,2016-04-12,1,31.41,871,1,1,1,3,Hibernating / Lost,RS
cust_000298,2017-11-19,1,81.32,285,3,1,2,6,Potential Loyalists,RJ
cust_000299,2017-06-05,3,397.55,452,2,4,4,10,At Risk (was frequent),BA
cust_000300,2017-03-22,1,189.28,527,2,1,3,6,Hibernating / Lost,RJ
cust_000301,2017-08-19,2,848.24,377,2,3,4,9,At Risk (was frequent),SP
cust_000302,2017-01-09,1,98.76,599,2,1,3,6,Hibernating / Lost,GO
cust_000303,2017-11-23,1,60.79,281,3,1,2,6,Potential Loyalists,RJ
cust_000304,2018-02-22,1,28.27,190,3,1,1,5,Potential Loyalists,BA
cust_000305,2018-05-27,4,634.02,96,4,4,4,12,Champions,SP
cust_000306,2017-07-22,2,391.46,405,2,3,4,9,At Risk (was frequent),MG
cust_000307,2016-09-27,1,26.18,703,1,1,1,3,Hibernating / Lost,SP
cust_000308,2017-08-26,1,102.09,370,2,1,3,6,Hibernating / Lost,SP
cust_000309,2018-05-20,1,47.89,103,4,1,2,7,Potential Loyalists,SP
cust_000310,2017-03-04,1,20.32,545,2,1,1,4,Hibernating / Lost,PR
cust_000311,2018-03-04,3,227.64,180,3,4,4,11,Loyal Customers,SP
cust_000312,2017-03-20,1,59.88,529,2,1,2,5,Hibernating / Lost,SP
cust_000313,2017-01-14,1,91.31,594,2,1,2,5,Hibernating / Lost,SP
cust_000314,2017-03-11,1,57.7,538,2,1,2,5,Hibernating / Lost,RJ
cust_000315,2017-07-30,1,31.94,397,2,1,1,4,Hibernating / Lost,MG
cust_000316,2018-05-11,1,141.58,112,4,1,3,8,Potential Loyalists,RS
cust_000317,2018-06-16,1,25.43,76,4,1,1,6,Potential Loyalists,RS
cust_000318,2017-10-27,2,165.32,308,3,3,3,9,Loyal Customers,RJ
cust_000319,2017-07-26,1,157.45,401,2,1,3,6,Hibernating / Lost,RJ
cust_000320,2016-11-18,2,173.78,651,1,3,3,7,At Risk (was frequent),SP
cust_000321,2016-06-11,1,204.08,811,1,1,3,5,Hibernating / Lost,RJ
cust_000322,2017-03-19,2,50.21,530,2,3,2,7,At Risk (was frequent),Unknown
cust_000323,2018-04-20,1,20.83,133,4,1,1,6,Potential Loyalists,RJ
cust_000324,2016-02-28,1,134.49,915,1,1,3,5,Hibernating / Lost,ES
cust_000325,2017-02-13,4,1680.84,564,2,4,4,10,At Risk (was frequent),SP
cust_000326,2018-03-24,1,21.41,160,4,1,1,6,Potential Loyalists,PR
cust_000327,2016-10-20,2,53.76,680,1,3,2,6,At Risk (was frequent),Unknown
cust_000328,2018-05-03,1,20.79,120,4,1,1,6,Potential Loyalists,RS
cust_000329,2016-01-11,1,41.28,963,1,1,1,3,Hibernating / Lost,MG
cust_000330,2017-06-17,1,96.06,440,2,1,2,5,Hibernating / Lost,SP
cust_000332,2018-03-04,1,16.58,180,3,1,1,5,Potential Loyalists,RJ
cust_000333,2018-05-03,1,94.11,120,4,1,2,7,Potential Loyalists,RJ
cust_000334,2018-03-03,1,25.68,181,3,1,1,5,Potential Loyalists,SP
cust_000335,2016-07-06,2,192.92,786,1,3,3,7,At Risk (was frequent),SP
cust_000336,2018-04-02,2,97.29,151,4,3,3,10,Loyal Customers,CE
cust_000337,2018-02-13,1,51.26,199,3,1,2,6,Potential Loyalists,SP
cust_000338,2017-11-14,1,250.06,290,3,1,4,8,Potential Loyalists,SP
cust_000339,2016-05-07,1,39.76,846,1,1,1,3,Hibernating / Lost,SP
cust_000340,2016-11-24,1,17.9,645,1,1,1,3,Hibernating / Lost,MG
cust_000341,2017-01-23,1,88.27,585,2,1,2,5,Hibernating / Lost,PR
