seller_id,seller_city,seller_state,seller_zip_code_prefix
seller_00343,contagem,MG,57911
seller_00344,florianopolis,SC,19482
seller_00345,florianopolis,SC,99759
seller_00346,vitoria,ES,85710
seller_00347,santos,SP,70386
seller_00348,belo horizonte,MG,73734
seller_00349,campinas,SP,59925
seller_00350,uberlandia,MG,6968
seller_00351,campinas,SP,39844
seller_00352,belo horizonte,MG,50083
seller_00353,belo horizonte,MG,91613
seller_00354,rio de janeiro,RJ,22729
seller_00355,niteroi,RJ,50194
seller_00356,curitiba,PR,35062
seller_00357,joinville,SC,14302
seller_00358,rio de janeiro,RJ,11198
seller_00359,uberlandia,MG,37172
seller_00360,belem,PA,9159
seller_00361,santos,SP,7649
seller_00362,campinas,SP,35735
seller_00363,sorocaba,SP,20995
seller_00364,belo horizonte,MG,55925
seller_00365,sao paulo,SP,2749
seller_00366,florianopolis,SC,30879
seller_00367,porto alegre,RS,45874
seller_00368,campinas,SP,96350
seller_00369,recife,PE,63818
seller_00370,curitiba,PR,88190
seller_00371,sorocaba,SP,34985
seller_00372,campinas,SP,45520
seller_00373,sorocaba,SP,42617
seller_00374,sorocaba,SP,88851
seller_00375,sorocaba,SP,95960
seller_00376,vitoria,ES,96270
seller_00377,rio de janeiro,RJ,75443
seller_00378,sorocaba,SP,50807
seller_00379,unknown,PR,54544
seller_00380,duque de caxias,RJ,98069
seller_00381,vitoria,ES,29169
seller_00382,florianopolis,SC,35323
seller_00383,duque de caxias,RJ,89801
seller_00384,santos,SP,39245
seller_00385,unknown,PB,24274
seller_00386,porto alegre,RS,56485
seller_00387,cuiaba,MT,33208
seller_00388,campinas,SP,89195
seller_00389,brasilia,DF,90996
seller_00390,belo horizonte,MG,31294
seller_00391,sorocaba,SP,53424
seller_00392,belo horizonte,MG,98414
seller_00393,porto alegre,RS,74488
seller_00394,santos,SP,22346
seller_00395,niteroi,RJ,59483
seller_00396,salvador,BA,62368
seller_00397,sorocaba,SP,65689
seller_00398,duque de caxias,RJ,3476
seller_00399,duque de caxias,RJ,30638
seller_00400,santos,SP,85605
seller_00401,belem,PA,24895
seller_00402,florianopolis,SC,30669
seller_00403,santos,SP,32926
seller_00404,aracaju,SE,18561
seller_00405,goiania,GO,16388
seller_00406,santos,SP,35354
seller_00407,salvador,BA,87556
seller_00408,sao paulo,SP,1151
seller_00409,aracaju,SE,29041
seller_00410,porto alegre,RS,7002
seller_00411,uberlandia,MG,56586
seller_00412,sao paulo,SP,25809
seller_00413,recife,PE,79404
seller_00414,sao paulo,SP,58916
seller_00415,sorocaba,SP,78597
seller_00416,campinas,SP,63855
seller_00417,joinville,SC,44399
seller_00418,santos,SP,86234
seller_00419,fortaleza,CE,48148
seller_00420,contagem,MG,95042
seller_00421,santos,SP,99474
seller_00422,campinas,SP,59312
seller_00423,sorocaba,SP,67784
seller_00424,uberlandia,MG,26310
seller_00425,joinville,SC,81648
seller_00426,campinas,SP,67486
seller_00427,brasilia,DF,90351
seller_00428,sao paulo,SP,27433
seller_00429,joinville,SC,78970
seller_00430,belem,PA,47556
seller_00431,florianopolis,SC,19332
seller_00432,caxias do sul,RS,17948
seller_00433,salvador,BA,56654
seller_00434,sao paulo,SP,32625
seller_00435,santos,SP,11087
seller_00436,sorocaba,SP,43287
seller_00437,niteroi,RJ,65638
seller_00438,curitiba,PR,32575
seller_00439,belo horizonte,MG,95578
seller_00440,brasilia,DF,78174
seller_00441,sorocaba,SP,51759
seller_00442,londrina,PR,93529
seller_00443,sao paulo,SP,43863
seller_00444,campinas,SP,14827
seller_00445,porto alegre,RS,4548
seller_00446,natal,RN,93863
seller_00447,belo horizonte,MG,96016
seller_00448,sorocaba,SP,74185
seller_00449,uberlandia,MG,11197
seller_00450,sao paulo,SP,30071
seller_00451,goiania,GO,5066
seller_00452,caxias do sul,RS,6073
seller_00453,campinas,SP,25360
seller_00454,sao paulo,SP,57641
seller_00455,campinas,SP,7487
seller_00456,natal,RN,98474
seller_00457,rio de janeiro,RJ,46056
seller_00458,florianopolis,SC,27120
seller_00459,contagem,MG,52092
seller_00460,contagem,MG,79224
seller_00461,sao paulo,SP,31944
seller_00462,vitoria,ES,5703
seller_00463,sorocaba,SP,6045
seller_00464,uberlandia,MG,85345
seller_00465,caxias do sul,RS,12048
seller_00466,contagem,MG,63920
seller_00467,vitoria,ES,39065
seller_00468,campinas,SP,77973
seller_00469,niteroi,RJ,6992
seller_00470,santos,SP,89880
seller_00471,duque de caxias,RJ,70120
seller_00472,sao paulo,SP,45478
seller_00473,campinas,SP,21494
seller_00474,sao paulo,SP,97736
seller_00475,campinas,SP,30904
seller_00476,rio de janeiro,RJ,49560
seller_00477,belo horizonte,MG,40018
seller_00478,contagem,MG,23824
seller_00479,sao paulo,SP,42243
seller_00480,sorocaba,SP,15996
seller_00481,sao paulo,SP,1164
seller_00482,contagem,MG,29709
seller_00483,campinas,SP,12094
seller_00484,santos,SP,42062
seller_00485,campinas,SP,86412
seller_00486,niteroi,RJ,17094
seller_00487,campinas,SP,1122
seller_00488,uberlandia,MG,11998
seller_00489,uberlandia,MG,51308
seller_00490,caxias do sul,RS,28208
seller_00491,contagem,MG,49460
seller_00492,uberlandia,MG,3895
seller_00493,campinas,SP,33975
seller_00494,florianopolis,SC,41602
seller_00495,niteroi,RJ,43700
seller_00496,unknown,RJ,55564
seller_00497,belo horizonte,MG,78276
seller_00498,sorocaba,SP,47255
seller_00499,rio de janeiro,RJ,84278
