order_id,payment_sequential,payment_type,payment_installments,payment_value
order_000201,1,credit_card,1,41.34
order_000202,1,credit_card,3,78.14
order_000203,1,credit_card,12,214.42
order_000204,1,credit_card,6,57.61
order_000205,1,credit_card,6,95.18
order_000206,1,credit_card,6,36.51
order_000207,1,credit_card,3,283.43
order_000208,1,voucher,1,366.26
order_000209,1,boleto,1,23.64
order_000210,1,credit_card,6,174.03
order_000211,1,credit_card,6,40.5
order_000212,1,credit_card,10,59.94
order_000213,1,credit_card,1,311.51
order_000214,1,boleto,1,387.37
order_000215,1,credit_card,1,45.1
order_000216,1,credit_card,1,41.33
order_000217,1,boleto,1,131.48
order_000218,1,credit_card,10,27.94
order_000219,1,credit_card,3,90.57
order_000220,1,credit_card,1,76.82
order_000221,1,debit_card,1,40.06
order_000222,1,boleto,1,35.37
order_000223,1,boleto,1,104.7
order_000224,1,debit_card,1,65.68
order_000225,1,credit_card,1,26.27
order_000226,1,voucher,1,12.8
order_000226,2,boleto,1,102.08
order_000227,1,voucher,1,13.86
order_000227,2,credit_card,1,32.99
order_000228,1,credit_card,1,300.2
order_000229,1,boleto,1,27.73
order_000230,1,credit_card,3,95.82
order_000231,1,credit_card,1,304.04
order_000232,1,credit_card,10,89.93
order_000233,1,credit_card,10,214.45
order_000234,1,credit_card,6,48.04
order_000235,1,credit_card,2,12.07
order_000236,1,credit_card,1,52.85
order_000237,1,boleto,1,155.82
order_000238,1,boleto,1,36.35
order_000239,1,boleto,1,385.64
order_000240,1,credit_card,2,68.44
order_000241,1,credit_card,6,68.78
order_000242,1,boleto,1,59.52
order_000243,1,credit_card,3,23.69
order_000244,1,credit_card,10,45.75
order_000245,1,credit_card,3,44.71
order_000246,1,credit_card,6,86.37
order_000247,1,credit_card,3,356.73
order_000248,1,boleto,1,124.89
order_000249,1,credit_card,3,35.46
order_000250,1,credit_card,2,13.85
order_000251,1,boleto,1,31.21
order_000252,1,credit_card,2,432.54
order_000253,1,credit_card,1,234.65
order_000254,1,boleto,1,40.14
order_000255,1,credit_card,3,35.1
order_000256,1,credit_card,3,20.9
order_000257,1,credit_card,3,32.37
order_000258,1,credit_card,10,578.64
order_000259,1,credit_card,1,85.19
order_000260,1,credit_card,12,163.12
order_000261,1,credit_card,1,183.45
order_000262,1,voucher,1,178.43
order_000263,1,voucher,1,105.04
order_000264,1,boleto,1,26.88
order_000265,1,voucher,1,69.25
order_000265,2,credit_card,6,178.56
order_000266,1,debit_card,1,20.75
order_000267,1,voucher,1,5.37
order_000267,2,voucher,1,15.19
order_000268,1,credit_card,1,49.39
order_000269,1,credit_card,2,107.61
order_000270,1,credit_card,1,41.52
order_000271,1,voucher,1,155.04
order_000272,1,credit_card,2,45.49
order_000273,1,credit_card,1,17.55
order_000274,1,boleto,1,38.72
order_000275,1,credit_card,2,332.12
order_000276,1,credit_card,10,106.26
order_000277,1,credit_card,1,58.57
order_000278,1,credit_card,10,107.53
order_000279,1,boleto,1,797.15
order_000280,1,boleto,1,276.12
order_000281,1,voucher,1,5.85
order_000281,2,credit_card,10,18.68
order_000282,1,credit_card,6,28.58
order_000283,1,boleto,1,115.02
order_000284,1,credit_card,6,21.02
order_000285,1,debit_card,1,90.54
order_000286,1,credit_card,3,90.31
order_000287,1,credit_card,1,232.89
order_000288,1,credit_card,1,115.95
order_000289,1,credit_card,12,161.27
order_000290,1,credit_card,10,30.53
order_000291,1,credit_card,1,269.73
order_000292,1,voucher,1,76.73
order_000293,1,credit_card,6,198.11
order_000294,1,credit_card,10,214.73
order_000295,1,voucher,1,35.43
order_000295,2,credit_card,1,115.9
order_000296,1,credit_card,1,48.03
order_000297,1,credit_card,1,76.01
order_000298,1,credit_card,10,38.14
order_000299,1,credit_card,10,22.09
order_000300,1,credit_card,6,525.96
order_000301,1,boleto,1,49.23
order_000302,1,voucher,1,37.91
order_000303,1,credit_card,1,73.92
order_000304,1,boleto,1,253.04
order_000305,1,boleto,1,105.79
order_000306,1,credit_card,1,174.4
order_000307,1,credit_card,12,38.73
order_000308,1,boleto,1,44.51
order_000309,1,credit_card,1,71.15
order_000310,1,credit_card,2,448.83
order_000311,1,credit_card,6,22.7
order_000312,1,voucher,1,99.51
order_000313,1,boleto,1,75.2
order_000314,1,credit_card,1,66.68
order_000315,1,credit_card,1,115.06
order_000316,1,credit_card,3,59.2
order_000317,1,credit_card,1,66.74
order_000318,1,credit_card,10,29.23
order_000319,1,credit_card,1,167.49
order_000320,1,boleto,1,32.75
order_000321,1,credit_card,2,78.61
order_000322,1,credit_card,1,116.79
order_000323,1,credit_card,2,31.16
order_000324,1,voucher,1,4.19
order_000324,2,credit_card,6,21.32
order_000325,1,credit_card,3,254.01
order_000326,1,credit_card,2,516.67
order_000327,1,credit_card,12,24.01
order_000328,1,credit_card,3,169.38
order_000329,1,credit_card,10,55.73
order_000330,1,boleto,1,153.15
order_000331,1,credit_card,1,70.83
order_000332,1,voucher,1,28.2
order_000332,2,boleto,1,232.12
order_000333,1,credit_card,10,724.98
order_000334,1,credit_card,10,188.0
order_000335,1,voucher,1,80.25
order_000335,2,voucher,1,195.39
order_000336,1,boleto,1,172.63
order_000337,1,voucher,1,19.74
order_000337,2,boleto,1,160.62
order_000338,1,credit_card,1,55.36
order_000339,1,credit_card,1,232.19
order_000340,1,credit_card,1,1272.52
order_000341,1,credit_card,10,26.68
order_000342,1,credit_card,6,93.94
order_000343,1,boleto,1,54.16
order_000344,1,debit_card,1,85.75
order_000345,1,credit_card,6,57.77
order_000346,1,boleto,1,24.3
order_000347,1,boleto,1,32.72
order_000348,1,credit_card,1,188.38
order_000349,1,boleto,1,212.91
order_000350,1,boleto,1,45.21
order_000351,1,voucher,1,6.9
order_000351,2,credit_card,1,44.14
order_000352,1,credit_card,1,112.84
order_000353,1,credit_card,2,160.53
order_000354,1,boleto,1,14.92
order_000355,1,boleto,1,281.25
order_000356,1,credit_card,1,82.11
order_000357,1,credit_card,1,70.41
order_000358,1,credit_card,6,11.62
order_000359,1,credit_card,3,173.58
order_000360,1,credit_card,12,287.67
order_000361,1,boleto,1,369.99
order_000362,1,credit_card,1,36.1
order_000363,1,boleto,1,149.11
order_000364,1,credit_card,6,150.14
order_000365,1,credit_card,12,141.35
order_000366,1,credit_card,1,96.19
order_000367,1,credit_card,2,66.54
order_000368,1,credit_card,1,303.61
order_000369,1,credit_card,2,42.05
order_000370,1,boleto,1,104.83
order_000371,1,credit_card,1,1607.18
order_000372,1,boleto,1,39.14
order_000373,1,credit_card,3,231.86
order_000374,1,credit_card,1,197.55
order_000375,1,credit_card,1,26.7
order_000376,1,boleto,1,38.63
order_000377,1,credit_card,2,96.69
order_000378,1,credit_card,12,53.3
order_000379,1,boleto,1,489.49
order_000380,1,credit_card,10,125.82
order_000381,1,credit_card,1,45.21
order_000382,1,credit_card,12,400.59
order_000383,1,credit_card,1,73.04
order_000384,1,credit_card,2,97.76
order_000385,1,boleto,1,37.09
order_000386,1,credit_card,6,230.22
order_000387,1,credit_card,1,52.76
order_000388,1,boleto,1,26.86
order_000389,1,credit_card,1,106.35
order_000390,1,credit_card,1,52.63
order_000391,1,credit_card,12,29.07
order_000392,1,credit_card,2,61.62
order_000393,1,voucher,1,117.99
order_000394,1,credit_card,1,44.9
order_000395,1,boleto,1,27.94
order_000396,1,credit_card,3,18.15
order_000397,1,credit_card,6,47.59
order_000398,1,credit_card,6,72.89
order_000399,1,credit_card,10,23.04
order_000400,1,credit_card,1,37.92
order_000401,1,credit_card,12,165.4
order_000402,1,voucher,1,11.77
order_000402,2,credit_card,1,29.98
order_000403,1,boleto,1,18.24
order_000404,1,credit_card,6,45.47
order_000405,1,credit_card,1,223.88
order_000406,1,credit_card,6,30.39
order_000407,1,boleto,1,158.66
order_000408,1,credit_card,1,549.16
order_000409,1,credit_card,6,160.56
order_000410,1,credit_card,10,148.72
order_000411,1,credit_card,1,159.99
order_000412,1,credit_card,1,108.05
order_000413,1,credit_card,3,22.04
order_000414,1,credit_card,6,90.81
order_000415,1,credit_card,6,216.53
order_000416,1,boleto,1,89.11
order_000417,1,credit_card,1,28.09
order_000418,1,boleto,1,166.61
order_000419,1,credit_card,12,51.79
order_000420,1,boleto,1,104.39
order_000421,1,credit_card,10,53.02
order_000422,1,credit_card,2,40.79
order_000423,1,boleto,1,289.18
order_000424,1,credit_card,1,212.79
order_000425,1,credit_card,10,160.24
order_000426,1,credit_card,3,236.33
order_000427,1,boleto,1,246.21
order_000428,1,credit_card,3,42.6
order_000429,1,credit_card,6,52.3
order_000430,1,credit_card,6,45.68
order_000431,1,credit_card,1,49.25
order_000432,1,boleto,1,123.59
order_000433,1,credit_card,3,100.38
order_000434,1,credit_card,1,90.81
order_000435,1,credit_card,1,49.18
order_000436,1,credit_card,12,94.13
order_000437,1,credit_card,12,34.61
order_000438,1,credit_card,3,31.71
order_000439,1,credit_card,1,125.57
order_000440,1,credit_card,1,89.64
order_000441,1,credit_card,1,24.44
order_000442,1,voucher,1,16.47
order_000442,2,credit_card,1,79.67
order_000443,1,boleto,1,113.77
order_000444,1,credit_card,1,97.61
order_000445,1,voucher,1,22.65
order_000445,2,credit_card,1,61.19
order_000446,1,credit_card,1,114.43
order_000447,1,credit_card,2,32.64
order_000448,1,credit_card,1,67.45
order_000449,1,credit_card,1,147.34
order_000450,1,credit_card,1,138.2
order_000451,1,credit_card,3,46.1
order_000452,1,credit_card,10,49.72
order_000453,1,credit_card,3,61.95
order_000454,1,credit_card,1,170.94
order_000455,1,boleto,1,94.07
order_000456,1,credit_card,1,140.35
order_000457,1,credit_card,2,38.01
order_000458,1,boleto,1,298.64
order_000459,1,credit_card,10,23.96
order_000460,1,voucher,1,46.96
order_000460,2,credit_card,1,110.23
order_000461,1,voucher,1,143.92
order_000461,2,credit_card,1,339.14
order_000462,1,boleto,1,56.71
order_000463,1,credit_card,3,74.65
order_000464,1,credit_card,6,87.7
order_000465,1,credit_card,10,32.42
order_000466,1,credit_card,2,29.11
order_000467,1,boleto,1,43.03
order_000468,1,credit_card,1,123.48
order_000469,1,voucher,1,104.22
order_000469,2,boleto,1,598.86
order_000470,1,boleto,1,14.03
order_000471,1,credit_card,12,74.93
order_000472,1,credit_card,6,191.18
order_000473,1,credit_card,1,305.99
order_000474,1,credit_card,3,63.46
order_000475,1,credit_card,1,347.69
order_000476,1,voucher,1,34.32
order_000477,1,voucher,1,155.66
order_000478,1,credit_card,1,79.37
order_000479,1,credit_card,2,34.17
order_000480,1,credit_card,6,166.56
order_000481,1,voucher,1,22.86
order_000481,2,boleto,1,71.31
order_000482,1,credit_card,3,41.97
order_000483,1,credit_card,2,22.63
order_000484,1,debit_card,1,42.24
order_000485,1,credit_card,1,12.75
order_000486,1,credit_card,1,20.95
order_000487,1,boleto,1,85.44
order_000488,1,credit_card,2,185.99
order_000489,1,voucher,1,11.01
order_000489,2,credit_card,1,44.58
order_000490,1,credit_card,3,75.92
order_000491,1,credit_card,3,80.56
order_000492,1,voucher,1,9.55
order_000492,2,credit_card,1,41.89
order_000493,1,boleto,1,131.33
order_000494,1,voucher,1,16.1
order_000494,2,credit_card,3,125.1
order_000495,1,credit_card,6,198.97
order_000496,1,boleto,1,22.33
order_000497,1,voucher,1,15.5
order_000497,2,credit_card,2,38.45
order_000498,1,credit_card,3,158.92
order_000499,1,credit_card,1,66.34
order_000500,1,credit_card,1,256.99
order_000501,1,credit_card,1,50.8
order_000502,1,boleto,1,55.92
order_000503,1,credit_card,1,81.9
order_000504,1,credit_card,12,255.93
order_000505,1,credit_card,6,95.71
order_000506,1,boleto,1,197.52
order_000507,1,credit_card,2,59.64
order_000508,1,credit_card,1,156.51
order_000509,1,boleto,1,15.98
order_000510,1,credit_card,10,28.37
order_000511,1,credit_card,1,42.78
order_000512,1,boleto,1,80.51
order_000513,1,voucher,1,23.5
order_000513,2,voucher,1,129.39
order_000514,1,credit_card,3,91.13
order_000515,1,boleto,1,35.99
order_000516,1,credit_card,12,117.45
order_000517,1,credit_card,2,97.15
order_000518,1,boleto,1,363.31
order_000519,1,boleto,1,88.66
order_000520,1,credit_card,1,69.46
order_000521,1,boleto,1,18.38
order_000522,1,credit_card,1,79.51
order_000523,1,credit_card,1,99.93
order_000524,1,voucher,1,459.81
order_000525,1,credit_card,10,284.14
order_000526,1,credit_card,1,73.46
order_000527,1,credit_card,2,44.97
order_000528,1,credit_card,1,46.29
order_000529,1,credit_card,1,44.11
order_000530,1,credit_card,3,39.91
order_000531,1,credit_card,2,27.56
order_000532,1,credit_card,1,256.82
order_000533,1,credit_card,3,53.63
order_000534,1,credit_card,3,77.04
order_000535,1,credit_card,2,63.81
order_000536,1,credit_card,3,35.63
order_000537,1,credit_card,10,58.89
order_000538,1,credit_card,1,32.32
order_000539,1,credit_card,2,221.06
order_000540,1,voucher,1,43.55
order_000540,2,boleto,1,148.84
order_000541,1,credit_card,6,74.75
order_000542,1,credit_card,2,137.51
order_000543,1,credit_card,1,683.88
order_000544,1,boleto,1,108.74
order_000545,1,credit_card,12,69.66
order_000546,1,boleto,1,271.51
order_000547,1,credit_card,10,169.84
order_000548,1,credit_card,3,102.19
order_000549,1,credit_card,2,374.14
order_000550,1,credit_card,6,25.51
order_000551,1,credit_card,1,33.23
order_000552,1,credit_card,2,109.57
order_000553,1,credit_card,12,32.44
order_000554,1,credit_card,3,216.14
order_000555,1,boleto,1,61.77
order_000556,1,credit_card,3,30.71
order_000557,1,credit_card,1,35.15
order_000558,1,credit_card,1,87.17
order_000559,1,credit_card,2,24.06
order_000560,1,credit_card,1,20.05
order_000561,1,credit_card,6,177.77
order_000562,1,credit_card,2,331.34
order_000563,1,credit_card,2,196.87
order_000564,1,credit_card,3,71.9
order_000565,1,credit_card,3,553.93
order_000566,1,credit_card,3,164.28
order_000567,1,credit_card,3,33.71
order_000568,1,credit_card,1,45.76
order_000569,1,voucher,1,63.76
order_000569,2,credit_card,1,523.95
order_000570,1,credit_card,12,52.0
order_000571,1,credit_card,1,104.45
order_000572,1,credit_card,10,490.03
order_000573,1,boleto,1,58.27
order_000574,1,credit_card,12,726.05
order_000575,1,credit_card,3,26.02
order_000576,1,credit_card,1,141.41
order_000577,1,boleto,1,145.75
order_000578,1,credit_card,2,175.78
order_000579,1,credit_card,3,293.94
order_000580,1,credit_card,1,191.32
order_000581,1,credit_card,3,28.91
order_000582,1,credit_card,6,32.7
order_000583,1,credit_card,2,31.23
order_000584,1,credit_card,2,56.43
order_000585,1,credit_card,2,80.2
order_000586,1,boleto,1,144.5
order_000587,1,credit_card,1,41.26
order_000588,1,credit_card,6,46.38
order_000589,1,boleto,1,16.1
order_000590,1,credit_card,3,62.93
order_000591,1,credit_card,6,36.77
order_000592,1,credit_card,6,59.34
order_000593,1,credit_card,2,412.85
order_000594,1,credit_card,10,30.5
order_000595,1,credit_card,2,35.46
order_000596,1,credit_card,10,673.24
order_000597,1,credit_card,1,81.95
order_000598,1,credit_card,12,226.66
order_000599,1,credit_card,1,163.86
order_000600,1,credit_card,12,107.47
order_000601,1,voucher,1,13.12
order_000602,1,credit_card,1,236.88
order_000603,1,credit_card,12,101.48
order_000604,1,credit_card,10,116.6
order_000605,1,credit_card,1,190.69
order_000606,1,credit_card,1,39.5
order_000607,1,credit_card,10,25.69
order_000608,1,boleto,1,126.59
order_000609,1,boleto,1,41.51
order_000610,1,credit_card,1,91.4
order_000611,1,boleto,1,82.14
order_000612,1,boleto,1,86.14
order_000613,1,credit_card,10,102.08
order_000614,1,credit_card,1,19.18
order_000615,1,credit_card,6,46.2
order_000616,1,credit_card,3,106.71
order_000617,1,credit_card,10,348.28
order_000618,1,credit_card,1,266.48
order_000619,1,debit_card,1,153.15
order_000620,1,voucher,1,41.14
order_000620,2,credit_card,1,133.64
order_000621,1,credit_card,3,17.19
order_000622,1,credit_card,1,102.3
order_000623,1,voucher,1,27.13
order_000623,2,credit_card,1,87.01
order_000624,1,credit_card,1,17.51
order_000625,1,credit_card,6,47.51
order_000626,1,credit_card,2,39.03
order_000627,1,credit_card,1,54.5
order_000628,1,boleto,1,166.12
order_000629,1,boleto,1,97.02
order_000630,1,credit_card,1,524.09
order_000631,1,credit_card,6,122.56
order_000632,1,credit_card,12,46.31
order_000633,1,credit_card,3,22.33
order_000634,1,credit_card,12,233.61
order_000635,1,credit_card,1,162.67
order_000636,1,credit_card,3,73.33
order_000637,1,credit_card,2,291.39
order_000638,1,credit_card,10,94.02
order_000639,1,credit_card,3,104.29
order_000640,1,credit_card,1,32.74
order_000641,1,credit_card,1,260.1
order_000642,1,credit_card,1,147.22
order_000643,1,boleto,1,74.0
order_000644,1,credit_card,3,71.48
order_000645,1,credit_card,6,118.45
order_000646,1,boleto,1,74.81
order_000647,1,credit_card,2,59.21
order_000648,1,credit_card,2,59.48
order_000649,1,boleto,1,72.77
order_000650,1,credit_card,1,168.49
order_000651,1,credit_card,10,16.39
order_000652,1,credit_card,6,41.23
order_000653,1,credit_card,1,13.66
order_000654,1,credit_card,3,59.12
order_000655,1,voucher,1,28.69
order_000656,1,credit_card,2,268.67
order_000657,1,credit_card,1,164.46
order_000658,1,credit_card,2,37.61
order_000659,1,boleto,1,291.07
order_000660,1,credit_card,10,91.64
order_000661,1,credit_card,1,283.1
order_000662,1,credit_card,2,311.73
order_000663,1,voucher,1,21.92
order_000664,1,credit_card,10,137.5
order_000665,1,credit_card,6,103.66
order_000666,1,credit_card,1,72.41
order_000667,1,boleto,1,134.82
order_000668,1,credit_card,2,141.51
order_000669,1,credit_card,10,124.31
order_000670,1,boleto,1,49.36
order_000671,1,credit_card,1,43.31
order_000672,1,voucher,1,18.35
order_000672,2,credit_card,2,89.53
order_000673,1,credit_card,10,393.13
order_000674,1,voucher,1,193.5
order_000675,1,boleto,1,25.65
order_000676,1,voucher,1,14.23
order_000676,2,credit_card,6,91.82
order_000677,1,credit_card,1,159.13
order_000678,1,credit_card,1,129.7
order_000679,1,credit_card,1,56.73
order_000680,1,boleto,1,337.23
order_000681,1,credit_card,2,24.4
order_000682,1,credit_card,1,217.84
order_000683,1,credit_card,10,318.87
order_000684,1,credit_card,1,81.99
order_000685,1,credit_card,2,57.28
order_000686,1,credit_card,6,31.32
order_000687,1,debit_card,1,55.01
order_000688,1,debit_card,1,83.39
order_000689,1,credit_card,1,34.96
order_000690,1,credit_card,10,65.6
order_000691,1,credit_card,3,39.98
order_000692,1,voucher,1,224.02
order_000693,1,credit_card,10,118.17
order_000694,1,credit_card,1,13.3
order_000695,1,credit_card,3,316.59
order_000696,1,credit_card,2,39.42
order_000697,1,credit_card,2,71.84
order_000698,1,credit_card,1,97.06
order_000699,1,boleto,1,169.73
order_000700,1,boleto,1,59.98
order_000701,1,credit_card,10,21.4
order_000702,1,credit_card,12,232.76
order_000703,1,boleto,1,96.34
order_000704,1,credit_card,1,21.17
order_000705,1,credit_card,1,35.37
order_000706,1,credit_card,1,52.94
order_000707,1,credit_card,1,15.39
order_000708,1,credit_card,3,177.45
order_000709,1,credit_card,10,82.66
order_000710,1,credit_card,1,222.2
order_000711,1,credit_card,10,33.8
order_000712,1,credit_card,10,89.02
order_000713,1,credit_card,1,695.83
order_000714,1,credit_card,1,120.62
order_000715,1,credit_card,3,40.85
order_000716,1,credit_card,1,36.63
order_000717,1,credit_card,2,125.03
order_000718,1,credit_card,1,64.67
order_000719,1,credit_card,1,149.55
order_000720,1,voucher,1,28.94
order_000720,2,credit_card,1,72.56
order_000721,1,credit_card,2,50.73
order_000722,1,voucher,1,253.94
order_000723,1,boleto,1,22.92
order_000724,1,boleto,1,16.6
order_000725,1,credit_card,1,818.09
order_000726,1,voucher,1,25.49
order_000727,1,boleto,1,63.5
order_000728,1,voucher,1,4.61
order_000728,2,credit_card,2,15.5
order_000729,1,credit_card,1,140.18
order_000730,1,voucher,1,15.0
order_000730,2,credit_card,6,119.92
order_000731,1,credit_card,1,30.26
order_000732,1,voucher,1,62.81
order_000733,1,credit_card,1,41.57
order_000734,1,boleto,1,158.87
order_000735,1,voucher,1,72.53
order_000735,2,credit_card,10,599.85
order_000736,1,credit_card,12,77.95
order_000737,1,credit_card,1,190.18
order_000738,1,credit_card,12,299.76
