order_id,order_item_id,product_id,seller_id,price,freight_value,item_cost,item_margin
order_021124,1,prod_01262,seller_00365,126.46,17.01,38.32,88.14
order_002632,1,prod_01685,seller_00066,70.31,11.07,25.98,44.33
order_023106,1,prod_01153,seller_00138,66.48,12.77,55.38,11.1
order_004172,2,prod_00752,seller_00257,24.3,10.82,19.61,4.69
order_010667,1,prod_01623,seller_00149,152.12,40.54,39.61,112.51
order_007155,4,prod_00593,seller_00133,42.33,13.35,48.36,-6.03
order_002465,1,prod_01062,seller_00124,531.25,43.17,90.23,441.02
order_010005,1,prod_00634,seller_00372,306.11,30.27,65.07,241.04
order_019987,1,prod_00192,seller_00425,28.71,10.52,21.51,7.2
order_015321,1,prod_01366,seller_00381,78.66,20.96,38.81,39.85
order_015221,1,prod_01474,seller_00408,150.39,24.89,64.56,85.83
order_016859,3,prod_00917,seller_00105,107.85,17.25,21.86,85.99
order_021886,1,prod_01039,seller_00292,148.36,33.99,30.07,118.29
order_020731,1,prod_01945,seller_00127,26.97,11.27,17.37,9.6
order_006741,1,prod_01937,seller_00153,28.47,9.96,30.21,-1.74
order_000159,1,prod_00836,seller_00098,16.91,6.5,17.69,-0.78
order_015253,1,prod_00260,seller_00203,29.55,11.46,15.89,13.66
order_026526,1,prod_00945,seller_00398,45.49,12.7,13.28,32.21
order_013364,1,prod_01375,seller_00446,41.23,14.06,34.51,6.72
order_015545,1,prod_01682,seller_00183,40.83,11.5,20.76,20.07
order_022854,3,prod_00323,seller_00180,72.11,11.36,17.71,54.4
order_029959,1,prod_01731,seller_00210,88.92,14.26,17.82,71.1
order_020236,1,prod_00448,seller_00021,58.77,15.39,19.24,39.53
order_005736,1,prod_01312,seller_00498,578.4,72.47,178.62,399.78
order_019445,1,prod_01038,seller_00441,62.72,11.92,26.27,36.45
order_009461,1,prod_00649,seller_00212,23.0,12.61,7.71,15.29
order_021166,3,prod_01217,seller_00019,21.24,9.15,15.59,5.65
order_010877,1,prod_00140,seller_00352,11.57,7.69,15.81,-4.24
order_010657,2,prod_01254,seller_00075,17.25,6.5,6.31,10.94
order_010035,1,prod_01651,seller_00327,59.62,14.55,22.22,37.4
order_001200,2,prod_00557,seller_00172,165.24,14.42,64.65,100.59
order_007888,1,prod_00142,seller_00452,67.71,20.81,56.23,11.48
order_013813,3,prod_00563,seller_00137,37.96,14.67,49.42,-11.46
order_001017,1,prod_00658,seller_00230,245.75,46.52,63.4,182.35
order_001549,1,prod_00895,seller_00071,21.99,6.5,29.91,-7.92
order_000258,2,prod_01008,seller_00270,317.62,57.57,52.33,265.29
order_017491,1,prod_01244,seller_00011,80.29,22.01,104.65,-24.36
order_021611,2,prod_00307,seller_00434,251.55,25.54,50.74,200.81
order_027498,2,prod_01912,seller_00194,34.07,14.61,13.21,20.86
order_001970,1,prod_01484,seller_00486,56.17,15.89,64.31,-8.14
order_012602,1,prod_01264,seller_00258,55.47,8.0,26.03,29.44
order_013721,1,prod_00876,seller_00302,14.57,7.62,15.28,-0.71
order_027903,1,prod_01143,seller_00101,119.86,28.69,28.54,91.32
order_029087,3,prod_01632,seller_00414,82.75,20.45,79.32,3.43
order_016913,1,prod_00798,seller_00202,98.97,17.83,41.68,57.29
order_005827,1,prod_00765,seller_00188,174.21,33.32,29.85,144.36
order_022516,2,prod_00224,seller_00345,336.02,36.56,114.29,221.73
order_018194,1,prod_00842,seller_00473,24.11,11.62,18.92,5.19
order_008934,2,prod_00220,seller_00448,49.3,9.43,17.47,31.83
order_012670,1,prod_01649,seller_00128,107.44,30.2,103.6,3.84
order_013154,4,prod_01342,seller_00188,125.4,28.56,161.58,-36.18
order_011575,1,prod_00486,seller_00217,219.84,18.35,35.13,184.71
order_011184,1,prod_01056,seller_00245,128.94,29.07,97.99,30.95
order_023772,2,prod_01787,seller_00318,10.16,7.49,10.21,-0.05
order_011895,1,prod_00444,seller_00285,170.74,16.47,29.04,141.7
order_019707,2,prod_00117,seller_00214,7.33,11.35,11.01,-3.68
order_019505,1,prod_00310,seller_00357,12.67,8.01,11.59,1.08
order_002900,2,prod_01411,seller_00269,288.81,51.02,121.28,167.53
order_021584,1,prod_01029,seller_00314,26.82,11.46,12.51,14.31
order_006634,1,prod_00829,seller_00108,53.42,6.5,21.24,32.18
order_022218,1,prod_01239,seller_00225,15.87,6.72,26.32,-10.45
order_026927,1,prod_00281,seller_00126,84.52,16.08,25.23,59.29
order_026553,1,prod_01521,seller_00313,144.19,18.36,119.85,24.34
order_004413,2,prod_00572,seller_00319,33.86,9.53,43.31,-9.45
order_024380,2,prod_00781,seller_00475,58.35,19.79,18.53,39.82
order_019375,2,prod_00315,seller_00373,86.53,18.67,30.33,56.2
order_028349,1,prod_01757,seller_00233,23.39,6.5,9.7,13.69
order_014189,2,prod_00376,seller_00152,64.35,18.15,33.92,30.43
order_028267,1,prod_01700,seller_00327,53.1,14.37,45.15,7.95
order_029698,1,prod_00555,seller_00416,76.64,26.35,36.39,40.25
order_015280,1,prod_00616,seller_00224,64.55,12.15,27.36,37.19
order_027850,1,prod_00540,seller_00097,143.67,14.27,76.0,67.67
order_017909,2,prod_01434,seller_00444,36.57,17.64,13.9,22.67
order_015740,2,prod_00615,seller_00490,289.08,52.64,104.36,184.72
order_010665,2,prod_01485,seller_00329,40.91,14.61,43.31,-2.4
order_005879,2,prod_00167,seller_00198,44.65,16.32,22.91,21.74
order_025999,1,prod_00846,seller_00135,31.58,15.28,11.49,20.09
order_018960,3,prod_01642,seller_00275,80.05,11.62,28.99,51.06
order_001151,2,prod_00185,seller_00113,17.17,8.17,8.78,8.39
order_020455,2,prod_00183,seller_00050,14.97,13.67,15.55,-0.58
order_004036,1,prod_01983,seller_00030,95.83,21.77,166.68,-70.85
order_014896,1,prod_01765,seller_00113,42.46,13.17,22.3,20.16
order_012028,1,prod_00563,seller_00147,72.48,21.23,49.42,23.06
order_029479,1,prod_01216,seller_00324,9.03,6.5,8.24,0.79
order_016629,2,prod_00570,seller_00127,119.21,24.45,98.49,20.72
order_025798,2,prod_00202,seller_00405,143.03,34.75,47.02,96.01
order_017427,2,prod_00775,seller_00071,15.84,12.49,11.41,4.43
order_029807,1,prod_00910,seller_00439,53.56,17.31,20.77,32.79
order_024363,1,prod_00770,seller_00276,25.73,6.89,20.31,5.42
order_014469,1,prod_00253,seller_00090,49.17,11.94,15.39,33.78
order_015815,2,prod_00548,seller_00178,19.86,8.14,12.28,7.58
order_004740,1,prod_00441,seller_00289,44.06,17.96,22.72,21.34
order_012359,1,prod_01694,seller_00173,20.03,13.61,12.46,7.57
order_002998,3,prod_01848,seller_00370,23.61,6.5,34.57,-10.96
order_007366,1,prod_00205,seller_00145,83.9,19.08,42.49,41.41
order_012435,1,prod_01751,seller_00011,68.46,17.72,23.43,45.03
order_022486,1,prod_01721,seller_00029,632.89,109.23,95.17,537.72
order_001694,1,prod_00621,seller_00458,36.98,16.47,13.04,23.94
order_021297,1,prod_00230,seller_00088,44.08,9.47,36.15,7.93
order_013145,1,prod_00396,seller_00442,62.29,19.1,26.58,35.71
order_014680,1,prod_01695,seller_00432,47.04,14.06,25.01,22.03
order_020541,1,prod_00167,seller_00315,33.88,8.69,22.91,10.97
order_015198,1,prod_00886,seller_00026,98.82,19.25,33.73,65.09
order_021098,1,prod_00401,seller_00348,46.1,15.66,46.82,-0.72
order_015947,2,prod_01142,seller_00109,68.83,15.19,44.99,23.84
order_017360,1,prod_00226,seller_00269,143.75,31.2,21.02,122.73
order_009704,3,prod_01343,seller_00213,86.06,15.36,42.36,43.7
order_028624,1,prod_00922,seller_00106,148.45,31.58,23.12,125.33
order_025151,2,prod_01190,seller_00425,9.76,8.08,7.68,2.08
order_007242,1,prod_01794,seller_00087,126.16,18.73,48.11,78.05
order_009932,1,prod_00544,seller_00226,770.32,102.91,260.08,510.24
order_025691,1,prod_01133,seller_00365,50.4,8.88,76.24,-25.84
order_024014,1,prod_01285,seller_00213,142.72,12.35,38.66,104.06
order_019784,1,prod_00840,seller_00339,119.67,16.91,29.19,90.48
order_000446,1,prod_00147,seller_00021,29.47,12.23,31.57,-2.1
order_029086,2,prod_01523,seller_00156,101.84,23.22,33.76,68.08
order_018742,1,prod_00795,seller_00226,48.94,15.47,23.41,25.53
order_002910,3,prod_01950,seller_00071,70.4,22.26,44.8,25.6
order_007635,1,prod_01252,seller_00133,23.7,9.49,6.08,17.62
order_001709,3,prod_00961,seller_00493,127.47,27.02,71.28,56.19
order_027091,1,prod_01556,seller_00467,29.07,17.85,8.83,20.24
order_004251,1,prod_00770,seller_00497,58.55,12.06,20.31,38.24
order_029234,1,prod_01768,seller_00270,26.1,13.73,20.25,5.85
order_009281,2,prod_00519,seller_00223,62.8,16.21,18.68,44.12
order_011931,1,prod_01027,seller_00294,15.47,6.85,15.25,0.22
order_008103,1,prod_01055,seller_00399,38.75,9.2,19.36,19.39
order_009247,3,prod_01529,seller_00300,421.02,38.15,167.72,253.3
order_025424,1,prod_01142,seller_00382,85.9,14.99,44.99,40.91
order_023545,1,prod_00753,seller_00451,32.61,16.14,24.45,8.16
order_010752,2,prod_00764,seller_00436,10.41,7.67,9.3,1.11
order_008521,3,prod_00184,seller_00085,32.59,15.74,8.48,24.11
order_001639,2,prod_01182,seller_00171,14.44,10.04,5.8,8.64
order_028944,1,prod_00501,seller_00096,72.76,22.1,19.25,53.51
order_007957,1,prod_01221,seller_00268,34.13,16.29,13.45,20.68
order_027617,1,prod_00987,seller_00201,53.31,11.03,23.65,29.66
order_025680,1,prod_01686,seller_00375,185.17,25.58,31.22,153.95
order_019322,1,prod_01561,seller_00135,23.88,9.45,7.98,15.9
order_012944,2,prod_01215,seller_00387,24.17,12.02,9.13,15.04
order_006910,1,prod_00270,seller_00311,33.78,7.4,24.68,9.1
order_004217,1,prod_00649,seller_00127,17.02,14.75,7.71,9.31
order_015237,2,prod_01633,seller_00254,171.51,22.91,76.74,94.77
order_000005,1,prod_01092,seller_00188,9.71,10.53,6.93,2.78
order_015676,2,prod_01480,seller_00249,6.88,9.58,9.98,-3.1
order_024045,2,prod_00784,seller_00204,63.42,18.79,59.35,4.07
order_002329,1,prod_01311,seller_00020,107.87,23.25,33.39,74.48
order_016788,1,prod_01228,seller_00013,21.98,10.79,9.52,12.46
order_027879,1,prod_00454,seller_00325,105.17,25.49,83.43,21.74
order_028183,3,prod_00274,seller_00291,638.23,119.47,96.89,541.34
order_000229,1,prod_01358,seller_00137,19.93,7.8,7.74,12.19
order_001336,1,prod_01202,seller_00007,17.8,9.19,31.97,-14.17
order_024457,3,prod_01052,seller_00145,26.58,10.28,16.9,9.68
order_011865,2,prod_00495,seller_00257,43.51,9.02,37.62,5.89
order_019912,1,prod_01295,seller_00314,10.75,12.72,6.49,4.26
order_000340,2,prod_01363,seller_00489,261.62,29.03,38.46,223.16
order_029413,1,prod_01898,seller_00042,303.13,40.27,74.44,228.69
order_009052,1,prod_01994,seller_00038,25.75,7.58,17.61,8.14
order_004701,1,prod_01183,seller_00254,11.18,11.11,9.24,1.94
order_013514,1,prod_00942,seller_00240,152.74,15.7,57.74,95.0
order_016005,2,prod_01094,seller_00184,8.7,6.5,17.43,-8.73
order_014522,1,prod_01649,seller_00297,72.05,19.77,103.6,-31.55
order_000248,1,prod_00695,seller_00391,112.92,11.97,27.56,85.36
order_014813,2,prod_01431,seller_00438,90.62,11.79,19.28,71.34
order_015250,1,prod_00309,seller_00340,144.34,15.48,68.37,75.97
order_015386,2,prod_00379,seller_00494,16.64,12.35,19.82,-3.18
order_005975,1,prod_01145,seller_00288,108.84,17.53,85.69,23.15
order_003601,1,prod_01076,seller_00049,105.48,22.22,120.81,-15.33
order_029940,1,prod_01021,seller_00339,6.65,8.84,6.24,0.41
order_004040,1,prod_01504,seller_00251,30.72,13.14,12.46,18.26
order_021674,1,prod_01304,seller_00094,101.13,20.07,33.99,67.14
order_024306,1,prod_01685,seller_00488,30.8,12.31,25.98,4.82
order_002107,1,prod_00288,seller_00216,32.64,9.71,15.21,17.43
order_013191,1,prod_01772,seller_00359,17.65,9.28,14.87,2.78
order_005422,3,prod_01727,seller_00105,86.81,12.41,50.09,36.72
order_011395,1,prod_00068,seller_00154,25.5,6.5,23.01,2.49
order_007500,3,prod_00402,seller_00166,21.48,11.73,15.16,6.32
order_018523,1,prod_00668,seller_00174,45.82,12.83,10.47,35.35
order_021260,1,prod_01270,seller_00415,16.35,10.96,20.08,-3.73
order_006272,4,prod_01958,seller_00309,8.78,12.52,11.21,-2.43
order_010189,1,prod_01532,seller_00093,278.67,55.81,46.91,231.76
order_014551,1,prod_00210,seller_00217,199.66,43.12,67.74,131.92
order_015191,1,prod_01437,seller_00391,202.21,32.4,176.88,25.33
order_021026,1,prod_01277,seller_00138,80.84,7.94,81.51,-0.67
order_004786,1,prod_00412,seller_00272,24.76,9.52,22.81,1.95
order_001240,1,prod_01689,seller_00241,183.22,25.4,38.37,144.85
order_015643,3,prod_01134,seller_00076,242.32,49.01,60.18,182.14
order_023628,1,prod_00647,seller_00054,115.92,15.22,28.99,86.93
order_008064,2,prod_00712,seller_00221,92.24,24.35,101.99,-9.75
order_026613,1,prod_00812,seller_00320,25.67,9.11,12.03,13.64
order_001434,1,prod_01430,seller_00155,45.13,9.46,18.91,26.22
order_025681,1,prod_01744,seller_00336,419.33,54.78,112.77,306.56
order_011282,1,prod_01845,seller_00220,88.16,12.98,77.34,10.82
order_026001,1,prod_01263,seller_00150,9.48,14.2,14.39,-4.91
order_013638,2,prod_01462,seller_00409,26.03,10.84,16.81,9.22
order_012176,1,prod_00996,seller_00371,119.23,23.77,98.46,20.77
order_001334,1,prod_01910,seller_00091,40.66,17.34,17.36,23.3
order_004986,2,prod_01225,seller_00346,87.55,15.82,127.4,-39.85
order_024191,1,prod_00794,seller_00306,154.47,28.73,63.54,90.93
order_001807,1,prod_00999,seller_00072,27.76,12.32,26.05,1.71
order_009924,3,prod_01104,seller_00023,24.6,6.5,6.75,17.85
order_016164,2,prod_00517,seller_00068,53.3,12.66,28.32,24.98
order_018313,3,prod_00632,seller_00018,260.12,50.67,126.75,133.37
order_015064,2,prod_01482,seller_00126,119.26,10.61,62.3,56.96
order_027992,1,prod_01907,seller_00352,16.21,11.71,5.94,10.27
order_020019,2,prod_00497,seller_00383,6.58,6.5,7.16,-0.58
order_015004,2,prod_01486,seller_00198,59.86,14.45,38.43,21.43
order_009127,1,prod_00779,seller_00438,48.8,15.74,17.81,30.99
order_013789,1,prod_00602,seller_00022,14.34,9.08,9.2,5.14
order_006955,1,prod_00723,seller_00198,47.34,18.76,22.9,24.44
order_007089,1,prod_00250,seller_00440,337.42,44.58,114.39,223.03
order_012820,1,prod_00384,seller_00066,59.04,10.98,33.07,25.97
order_012922,3,prod_01465,seller_00387,99.22,20.0,39.46,59.76
order_024240,1,prod_01390,seller_00060,619.11,93.89,130.98,488.13
order_002444,2,prod_01348,seller_00209,51.74,11.38,14.25,37.49
order_027662,1,prod_01126,seller_00328,149.3,31.16,53.97,95.33
order_011856,1,prod_01150,seller_00130,209.5,39.57,65.46,144.04
order_005263,1,prod_00436,seller_00197,166.75,25.43,52.24,114.51
order_021800,1,prod_01580,seller_00249,287.81,12.83,63.41,224.4
order_018867,2,prod_01483,seller_00028,45.48,8.86,27.19,18.29
order_017977,2,prod_01914,seller_00059,147.62,17.62,65.74,81.88
order_016148,2,prod_01886,seller_00328,120.01,23.86,80.47,39.54
order_013950,1,prod_01609,seller_00126,43.16,14.04,20.67,22.49
order_013602,2,prod_00059,seller_00426,207.64,20.82,147.02,60.62
order_022622,4,prod_00242,seller_00016,18.03,11.84,30.65,-12.62
order_027339,1,prod_00836,seller_00427,60.97,8.26,17.69,43.28
order_019899,1,prod_00190,seller_00221,21.09,9.24,9.38,11.71
order_020294,2,prod_00406,seller_00016,148.88,19.3,32.86,116.02
order_004737,1,prod_01866,seller_00254,41.64,9.0,21.18,20.46
order_025090,3,prod_00154,seller_00333,16.05,6.5,7.91,8.14
order_021829,1,prod_01719,seller_00198,91.83,9.81,43.27,48.56
order_026067,1,prod_01654,seller_00272,112.08,14.64,35.64,76.44
order_023413,1,prod_01825,seller_00006,7.52,7.32,6.16,1.36
order_007624,1,prod_01949,seller_00432,25.17,7.6,13.72,11.45
order_022603,1,prod_00009,seller_00138,454.25,80.02,79.94,374.31
order_024394,1,prod_00232,seller_00146,47.47,9.91,35.72,11.75
order_002450,1,prod_00750,seller_00144,152.08,20.63,125.97,26.11
order_004989,2,prod_00011,seller_00228,341.45,39.15,71.21,270.24
order_001646,2,prod_00624,seller_00392,23.39,12.94,28.12,-4.73
order_008922,1,prod_01057,seller_00442,32.65,10.89,18.5,14.15
order_021685,2,prod_01214,seller_00304,81.92,12.78,38.06,43.86
order_026892,1,prod_00878,seller_00225,106.79,27.92,50.04,56.75
order_017230,1,prod_00993,seller_00472,99.06,10.71,96.42,2.64
order_014965,1,prod_01599,seller_00271,6.09,6.5,6.21,-0.12
order_017146,1,prod_00321,seller_00398,72.42,21.69,37.15,35.27
order_018128,1,prod_00984,seller_00274,304.69,45.57,81.18,223.51
order_023710,2,prod_00710,seller_00214,111.38,24.03,82.96,28.42
order_022635,3,prod_00001,seller_00123,40.86,12.98,13.85,27.01
order_009257,1,prod_00893,seller_00132,7.55,8.2,12.54,-4.99
order_022935,1,prod_00386,seller_00434,637.73,43.81,108.0,529.73
order_029700,3,prod_01901,seller_00117,90.18,20.93,25.03,65.15
order_015165,1,prod_01694,seller_00124,24.61,6.5,12.46,12.15
order_025417,2,prod_00197,seller_00002,230.63,37.88,47.95,182.68
order_014788,1,prod_00934,seller_00030,100.2,14.56,14.88,85.32
order_014415,2,prod_01916,seller_00103,72.6,16.03,21.58,51.02
order_022695,2,prod_00228,seller_00125,70.17,12.07,68.8,1.37
order_017517,3,prod_00587,seller_00172,41.97,15.23,33.47,8.5
order_027257,2,prod_01841,seller_00225,31.99,15.26,36.75,-4.76
order_005209,1,prod_00710,seller_00214,80.01,16.19,82.96,-2.95
order_015144,1,prod_00020,seller_00359,88.31,19.72,39.44,48.87
order_025698,2,prod_01317,seller_00092,9.3,11.39,13.63,-4.33
order_008275,1,prod_00890,seller_00373,22.77,15.43,12.78,9.99
order_024863,3,prod_00600,seller_00456,10.1,17.55,7.87,2.23
order_019092,1,prod_00566,seller_00485,162.2,23.62,63.46,98.74
order_002144,1,prod_01354,seller_00090,132.23,21.72,75.09,57.14
order_004945,1,prod_00194,seller_00044,274.32,51.05,56.55,217.77
order_015391,1,prod_01686,seller_00388,106.12,28.21,31.22,74.9
order_019033,1,prod_00242,seller_00392,46.41,17.77,30.65,15.76
order_030025,1,prod_00672,seller_00438,39.3,15.66,42.21,-2.91
order_020519,1,prod_00135,seller_00113,17.96,15.24,5.72,12.24
order_015315,2,prod_01924,seller_00156,19.2,11.38,12.83,6.37
order_011542,1,prod_01372,seller_00226,27.86,11.59,8.29,19.57
order_014862,2,prod_01012,seller_00449,92.13,18.16,30.53,61.6
order_003268,1,prod_01433,seller_00464,266.95,26.09,99.57,167.38
order_010441,1,prod_01545,seller_00360,42.61,6.5,20.5,22.11
order_027938,1,prod_00980,seller_00400,529.39,75.57,79.67,449.72
order_018629,2,prod_00531,seller_00004,250.34,13.15,53.13,197.21
order_001101,1,prod_01501,seller_00060,51.85,16.31,46.39,5.46
order_024665,1,prod_01298,seller_00215,10.11,15.59,9.75,0.36
order_019040,2,prod_01370,seller_00492,29.58,7.46,20.03,9.55
order_029811,1,prod_01650,seller_00309,131.44,21.02,34.88,96.56
order_016220,1,prod_00135,seller_00279,17.91,9.5,5.72,12.19
order_029776,2,prod_00106,seller_00418,75.78,10.97,19.05,56.73
order_028317,3,prod_00265,seller_00399,27.38,9.29,33.12,-5.74
order_012328,1,prod_01810,seller_00157,52.37,14.94,17.52,34.85
order_005836,1,prod_00260,seller_00189,20.26,9.15,15.89,4.37
order_017787,1,prod_01743,seller_00497,20.18,7.9,21.61,-1.43
order_005990,4,prod_00070,seller_00488,45.24,14.52,10.93,34.31
order_005644,1,prod_00943,seller_00195,24.16,12.6,9.65,14.51
order_012302,1,prod_01377,seller_00380,6.26,6.5,10.2,-3.94
order_010159,1,prod_01828,seller_00240,148.2,22.41,71.21,76.99
order_014415,1,prod_01545,seller_00467,76.51,19.38,20.5,56.01
order_015730,1,prod_00324,seller_00277,46.66,14.34,32.54,14.12
order_010468,1,prod_01404,seller_00251,21.16,11.78,8.3,12.86
order_019158,1,prod_00092,seller_00265,51.55,19.3,27.36,24.19
order_025854,1,prod_00585,seller_00447,32.76,11.99,19.36,13.4
order_007049,1,prod_01008,seller_00140,128.73,21.76,52.33,76.4
order_011410,2,prod_01439,seller_00385,63.33,19.35,24.8,38.53
order_010301,2,prod_00858,seller_00302,101.44,28.54,37.61,63.83
order_018052,1,prod_00996,seller_00164,651.74,120.74,98.46,553.28
order_011679,3,prod_00765,seller_00193,72.51,17.77,29.85,42.66
order_019724,1,prod_01343,seller_00033,91.21,20.16,42.36,48.85
order_022614,1,prod_00180,seller_00224,5.5,11.13,6.46,-0.96
order_019188,1,prod_00940,seller_00362,83.26,22.87,12.63,70.63
order_029471,1,prod_01475,seller_00172,77.25,22.18,42.54,34.71
order_027176,1,prod_00666,seller_00249,5.59,8.13,6.87,-1.28
order_028957,1,prod_00886,seller_00419,109.76,16.82,33.73,76.03
order_000692,1,prod_01169,seller_00425,17.56,13.55,12.78,4.78
order_013323,2,prod_00039,seller_00266,105.54,16.49,32.28,73.26
order_025383,2,prod_00025,seller_00169,297.6,41.03,85.4,212.2
order_015005,2,prod_00576,seller_00037,22.92,15.31,14.0,8.92
order_010846,1,prod_01188,seller_00052,92.09,22.02,118.31,-26.22
order_023151,2,prod_01029,seller_00380,28.79,10.44,12.51,16.28
order_003581,2,prod_00395,seller_00190,18.31,12.26,23.36,-5.05
order_025268,1,prod_00016,seller_00438,50.94,7.83,17.45,33.49
order_004175,1,prod_00419,seller_00204,8.48,10.09,13.22,-4.74
order_014667,3,prod_01035,seller_00035,101.62,16.22,51.21,50.41
order_008542,2,prod_01061,seller_00019,52.46,15.89,21.18,31.28
order_010605,1,prod_01576,seller_00436,10.03,14.89,7.78,2.25
order_026596,1,prod_01371,seller_00269,10.79,11.56,15.7,-4.91
order_021557,1,prod_00508,seller_00318,16.05,12.75,11.95,4.1
order_029237,2,prod_01671,seller_00245,57.09,10.75,16.66,40.43
order_015021,1,prod_00458,seller_00144,119.41,29.83,81.59,37.82
order_021741,1,prod_01326,seller_00230,73.12,14.38,44.02,29.1
order_019985,1,prod_00800,seller_00483,118.64,25.08,30.56,88.08
order_019523,1,prod_01326,seller_00120,46.73,9.76,44.02,2.71
order_019420,1,prod_01464,seller_00281,278.81,52.56,52.74,226.07
order_025274,1,prod_01984,seller_00147,39.08,12.97,24.62,14.46
order_001649,2,prod_01289,seller_00494,94.92,16.12,32.69,62.23
order_016960,2,prod_00483,seller_00030,13.25,6.5,6.73,6.52
order_029003,1,prod_01077,seller_00062,40.65,8.6,26.67,13.98
order_011362,2,prod_01607,seller_00030,338.31,44.6,86.11,252.2
order_011625,1,prod_01199,seller_00436,21.97,13.46,30.88,-8.91
order_023426,1,prod_00840,seller_00486,89.27,14.93,29.19,60.08
order_023282,1,prod_00535,seller_00319,52.63,14.34,27.45,25.18
order_018371,2,prod_01030,seller_00240,90.16,17.7,49.28,40.88
order_008983,1,prod_01481,seller_00398,143.23,36.09,40.49,102.74
order_019007,1,prod_00338,seller_00375,38.23,6.5,15.31,22.92
order_013888,2,prod_00953,seller_00423,106.09,10.17,27.23,78.86
order_019086,2,prod_00744,seller_00205,40.85,16.08,32.5,8.35
