product_id,product_category_name,product_weight_g,product_length_cm,product_height_cm,product_width_cm,product_cost
prod_00123,cds_dvds_musicals,554,54.7,22.1,31.2,18.55
prod_00124,stationery,916,24.8,8.3,23.6,8.13
prod_00125,music,1496,64.1,3.6,21.4,9.22
prod_00126,music,1658,19.1,6.9,8.2,10.74
prod_00127,electronics,1801,5.0,11.7,14.7,77.29
prod_00128,electronics,4325,29.9,10.7,7.6,73.71
prod_00129,signaling_and_security,195,8.5,12.9,61.9,44.58
prod_00130,fashion_shoes,1060,47.7,8.0,24.3,18.44
prod_00131,watches_gifts,4091,33.0,2.5,26.0,49.35
prod_00132,cds_dvds_musicals,1954,64.2,9.9,40.2,6.52
prod_00133,fashion_underwear_beach,477,26.8,4.6,29.7,15.22
prod_00134,furniture_living_room,1330,13.3,12.5,21.3,132.99
prod_00135,cds_dvds_musicals,1011,38.3,16.2,21.4,5.72
prod_00136,christmas_supplies,983,22.9,9.7,14.0,11.64
prod_00137,perfumery,744,44.3,5.7,32.5,17.79
prod_00138,consoles_games,1251,19.3,13.3,33.1,78.65
prod_00139,telephony,2441,58.6,49.7,26.1,60.08
prod_00140,market_place,801,31.6,17.4,23.9,15.81
prod_00141,electronics,1810,28.4,18.1,33.3,66.49
prod_00142,fashion_bags_accessories,2037,56.7,9.1,13.8,56.23
prod_00143,books_technical,2767,48.0,7.3,30.5,19.85
prod_00144,electronics,546,20.8,23.7,53.5,115.85
prod_00145,home_appliances,1177,47.3,2.0,18.2,100.83
prod_00146,construction_tools,673,42.6,7.8,22.7,6.53
prod_00147,cool_stuff,1252,29.2,31.7,46.5,31.57
prod_00148,housewares,1246,45.5,12.0,26.1,9.2
prod_00149,luggage_accessories,428,58.5,3.9,38.4,18.55
prod_00150,furniture_decor,1308,29.6,16.5,31.5,87.05
prod_00151,perfumery,4467,29.7,9.8,32.8,28.66
prod_00152,books_general,1662,28.9,3.3,17.6,22.62
prod_00153,housewares,347,20.3,14.7,17.3,8.02
prod_00154,market_place,515,29.5,13.4,35.8,7.91
prod_00155,music,1132,27.8,12.9,11.6,17.82
prod_00156,books_general,526,27.0,17.2,23.3,9.01
prod_00157,toys,2668,26.8,5.5,33.3,27.11
prod_00158,bed_bath_table,306,16.1,15.6,22.7,21.31
prod_00159,signaling_and_security,1670,50.4,14.0,24.0,30.14
prod_00160,perfumery,241,22.5,23.4,53.6,26.44
prod_00161,luggage_accessories,1118,60.1,7.7,39.3,31.45
prod_00162,garden_tools,458,18.1,25.8,49.2,32.75
prod_00163,watches_gifts,1889,66.8,20.4,74.1,115.92
prod_00164,costruction_tools_garden,2372,25.4,11.7,47.1,26.54
prod_00165,party_supplies,1493,47.6,12.9,20.2,9.36
prod_00166,industry_commerce_and_business,2447,32.8,2.0,16.0,36.52
prod_00167,music,67,14.9,12.7,20.4,22.91
prod_00168,cool_stuff,1296,15.4,19.6,33.6,49.13
prod_00169,christmas_supplies,1654,21.5,10.6,21.5,6.2
prod_00170,books_general,1807,24.7,23.4,18.0,5.86
prod_00171,telephony,1585,30.1,16.7,52.2,18.96
prod_00172,housewares,1835,36.4,37.2,21.1,19.27
prod_00173,industry_commerce_and_business,1285,28.1,8.1,32.3,44.83
prod_00174,baby,351,35.4,18.5,31.8,30.88
prod_00175,costruction_tools_garden,739,38.3,4.7,8.4,29.93
prod_00176,housewares,2677,27.5,11.3,50.6,31.81
prod_00177,baby,2477,42.3,17.3,13.4,32.82
prod_00178,baby,1632,46.9,19.2,10.9,23.85
prod_00179,baby,1917,38.8,10.1,19.9,47.15
prod_00180,books_general,2283,39.9,24.9,16.1,6.46
prod_00181,christmas_supplies,1619,33.9,28.0,46.7,12.56
prod_00182,christmas_supplies,2626,52.6,8.2,29.5,15.31
prod_00183,music,2568,30.5,11.5,18.9,15.55
prod_00184,garden_tools,5377,21.7,10.7,10.7,8.48
prod_00185,diapers_and_hygiene,766,30.9,9.1,31.2,8.78
prod_00186,small_appliances,777,15.1,27.0,22.2,40.1
prod_00187,small_appliances,1533,14.0,26.8,33.4,35.54
prod_00188,books_technical,3935,47.1,11.0,29.6,31.53
prod_00189,costruction_tools_garden,2765,60.6,18.5,16.4,50.06
prod_00190,diapers_and_hygiene,2084,25.8,23.2,35.5,9.38
prod_00191,fashion_shoes,2892,47.3,14.8,12.5,42.97
prod_00192,pet_shop,1675,10.9,10.4,21.7,21.51
prod_00193,music,925,9.8,7.8,23.2,11.37
prod_00194,cool_stuff,4575,53.3,19.5,24.9,56.55
prod_00195,toys,1588,38.9,5.0,12.0,21.3
prod_00196,pet_shop,2530,30.5,10.6,45.5,27.67
prod_00197,sports_leisure,66,65.4,9.5,16.4,47.95
prod_00198,perfumery,91,28.4,4.8,9.2,51.79
prod_00199,cds_dvds_musicals,1327,17.4,12.1,30.1,14.54
prod_00200,art,527,12.9,11.3,61.4,66.23
prod_00201,office_furniture,1419,30.9,6.7,8.4,81.8
prod_00202,electronics,776,33.8,26.4,14.6,47.02
prod_00203,construction_tools,5880,27.5,19.6,39.6,51.28
prod_00204,books_technical,2395,47.8,13.0,25.8,23.14
prod_00205,small_appliances,3079,57.4,21.3,12.3,42.49
prod_00206,bed_bath_table,121,25.7,24.3,23.1,59.37
prod_00207,small_appliances,2065,10.9,27.1,54.0,11.67
prod_00208,electronics,1014,35.5,8.1,48.0,167.68
prod_00209,books_technical,3119,53.1,21.3,81.2,42.19
prod_00210,industry_commerce_and_business,1860,25.7,11.4,36.4,67.74
prod_00211,diapers_and_hygiene,1133,39.9,14.5,19.6,12.1
prod_00212,pet_shop,390,16.7,8.3,39.2,18.69
prod_00213,fashion_bags_accessories,1308,35.1,12.7,17.4,25.02
prod_00214,construction_tools,2636,40.3,21.5,24.1,58.25
prod_00215,telephony,3238,35.6,31.0,17.4,45.58
prod_00216,party_supplies,876,73.9,11.9,36.3,16.29
prod_00217,food_drink,5276,60.2,6.8,34.7,15.8
prod_00218,industry_commerce_and_business,2499,43.5,33.6,18.3,77.95
prod_00219,perfumery,537,50.6,7.9,43.7,47.59
prod_00220,perfumery,428,35.0,3.6,50.6,17.47
prod_00221,industry_commerce_and_business,1066,29.9,8.8,19.7,78.09
prod_00222,small_appliances,875,24.3,2.1,31.5,76.9
prod_00223,books_technical,1684,16.5,23.6,52.1,16.88
prod_00224,furniture_living_room,1206,61.6,3.1,30.1,114.29
prod_00225,construction_tools,936,75.3,7.5,21.7,19.69
prod_00226,pet_shop,257,31.3,5.6,24.7,21.02
prod_00227,luggage_accessories,1900,31.6,13.7,19.5,19.85
prod_00228,perfumery,233,41.1,31.0,44.4,68.8
prod_00229,unknown,2504,28.5,16.9,41.7,71.12
prod_00230,cool_stuff,140,17.7,5.0,67.4,36.15
prod_00231,electronics,218,14.8,40.3,17.1,144.08
prod_00232,christmas_supplies,534,74.0,15.7,18.9,35.72
prod_00233,diapers_and_hygiene,811,11.8,22.2,11.0,10.12
prod_00234,unknown,676,36.3,4.2,33.7,15.21
prod_00235,toys,808,12.7,36.5,13.6,33.4
prod_00236,food_drink,1440,29.2,10.0,65.7,7.61
prod_00237,party_supplies,546,25.6,3.9,16.1,12.6
prod_00238,art,1450,13.9,14.7,67.6,59.14
prod_00239,unknown,68,41.8,22.2,5.0,16.68
prod_00240,music,527,17.0,18.4,8.0,18.37
prod_00241,art,205,12.9,18.2,13.3,22.23
prod_00242,costruction_tools_garden,2485,44.1,17.4,29.7,30.65
prod_00243,auto,615,25.7,13.9,24.5,46.76
prod_00244,costruction_tools_garden,1817,20.5,4.2,15.9,82.11
prod_00245,computers_accessories,164,45.4,11.2,23.8,64.21
prod_00246,home_appliances,3203,16.5,10.3,18.5,102.37
prod_00247,pet_shop,1260,11.0,27.1,33.3,57.81
prod_00248,construction_tools,1152,55.5,23.6,13.9,33.26
prod_00249,books_technical,261,68.9,9.4,27.5,11.0
prod_00250,auto,467,28.8,20.2,28.1,114.39
prod_00251,fashion_underwear_beach,961,5.0,12.3,24.9,15.6
prod_00252,market_place,485,28.6,3.7,31.3,20.1
prod_00253,pet_shop,2317,46.7,2.0,23.7,15.39
prod_00254,baby,1231,52.8,18.8,36.1,31.38
prod_00255,toys,490,17.5,6.2,24.9,12.41
prod_00256,cool_stuff,2075,26.3,6.2,45.4,36.16
prod_00257,construction_tools,859,34.9,8.0,27.5,24.5
prod_00258,fashion_underwear_beach,2009,45.4,19.1,43.9,9.96
prod_00259,fashion_bags_accessories,747,43.0,23.8,18.7,22.37
prod_00260,electronics,1727,39.7,23.5,14.8,15.89
prod_00261,baby,834,52.7,3.3,36.0,12.46
prod_00262,garden_tools,2318,29.8,7.8,25.1,30.72
prod_00263,market_place,168,61.9,6.9,6.4,14.36
prod_00264,luggage_accessories,359,22.9,19.1,16.9,17.25
prod_00265,baby,1032,43.4,7.9,29.7,33.12
prod_00266,industry_commerce_and_business,640,24.7,11.7,24.0,29.26
prod_00267,fashion_shoes,812,29.0,20.1,16.5,45.61
prod_00268,watches_gifts,1873,31.4,13.2,25.0,38.55
prod_00269,stationery,798,24.0,15.7,27.1,9.87
prod_00270,bed_bath_table,1489,53.8,11.5,9.3,24.68
prod_00271,health_beauty,524,25.3,22.4,43.3,81.75
prod_00272,perfumery,125,30.5,23.7,48.2,22.53
prod_00273,construction_tools,2000,40.9,17.4,16.9,40.09
prod_00274,air_conditioning,3699,89.7,23.8,60.4,96.89
prod_00275,housewares,1374,41.6,47.9,24.1,10.03
prod_00276,food_drink,1078,31.9,19.9,17.9,6.57
prod_00277,auto,1266,9.9,12.5,17.7,30.7
prod_00278,housewares,2907,28.6,15.9,58.4,27.74
prod_00279,books_technical,1387,21.8,25.2,14.0,16.21
prod_00280,costruction_tools_garden,2069,26.2,9.9,27.4,29.12
prod_00281,fashion_underwear_beach,2005,24.4,9.4,29.1,25.23
prod_00282,computers_accessories,2456,40.7,15.7,36.1,26.52
prod_00283,computers_accessories,1060,28.3,12.4,26.3,48.5
prod_00284,stationery,738,19.1,6.9,56.3,6.84
prod_00285,construction_tools,1741,47.7,14.3,61.6,45.24
prod_00286,art,2336,15.6,28.1,49.9,17.01
prod_00287,baby,2649,31.2,17.1,30.6,34.26
prod_00288,telephony,3153,28.7,5.9,39.8,15.21
prod_00289,party_supplies,2191,36.8,18.7,21.5,11.44
prod_00290,watches_gifts,703,53.0,10.9,44.1,19.6
prod_00291,health_beauty,1373,96.5,39.1,18.5,15.93
prod_00292,consoles_games,1282,31.9,17.9,15.4,173.59
prod_00293,electronics,1177,21.6,8.8,15.1,58.26
prod_00294,pet_shop,1744,20.5,19.6,33.7,10.69
prod_00295,industry_commerce_and_business,983,20.4,14.9,52.9,28.04
prod_00296,party_supplies,984,36.1,26.6,55.0,6.55
prod_00297,baby,3850,8.6,9.4,6.7,11.12
prod_00298,art,1105,15.0,17.8,41.0,23.23
prod_00299,pet_shop,2444,36.2,4.2,14.8,10.48
prod_00300,sports_leisure,2542,48.9,13.9,73.6,29.26
prod_00301,party_supplies,1402,49.0,5.8,12.2,12.71
prod_00302,housewares,1016,32.7,14.6,9.4,14.17
prod_00303,fashion_underwear_beach,544,45.8,16.6,41.4,18.66
prod_00304,air_conditioning,229,53.4,17.4,20.8,44.28
prod_00305,cool_stuff,1835,25.1,9.3,20.2,53.56
prod_00306,baby,1575,50.8,14.2,16.7,15.6
prod_00307,home_appliances,2033,12.3,24.7,18.3,50.74
prod_00308,signaling_and_security,780,14.8,33.0,42.4,22.52
prod_00309,auto,4111,25.9,14.5,15.1,68.37
prod_00310,books_general,1679,11.4,25.1,23.6,11.59
prod_00311,construction_tools,1072,41.0,7.3,14.2,7.74
prod_00312,computers_accessories,115,23.2,10.3,26.9,59.14
prod_00313,cds_dvds_musicals,856,28.9,15.4,20.0,6.62
prod_00314,food_drink,2102,29.4,12.4,32.3,10.2
prod_00315,fashion_shoes,3098,25.6,11.7,34.4,30.33
prod_00316,telephony,1209,20.4,23.6,53.3,25.11
prod_00317,watches_gifts,3443,40.0,6.5,71.1,56.45
prod_00318,unknown,506,22.9,7.0,17.7,118.44
prod_00319,furniture_living_room,1611,29.2,5.2,36.4,28.81
prod_00320,small_appliances,1644,37.0,15.7,19.8,19.86
prod_00321,auto,1846,53.2,10.8,33.9,37.15
prod_00322,furniture_living_room,1340,51.2,22.3,33.2,17.53
prod_00323,toys,1546,24.0,14.9,32.6,17.71
prod_00324,books_technical,494,19.8,9.2,37.8,32.54
prod_00325,unknown,2898,58.5,8.3,27.8,30.45
prod_00326,market_place,2278,22.9,2.0,20.9,10.88
prod_00327,bed_bath_table,1501,39.2,12.0,27.0,18.82
prod_00328,art,2316,11.0,5.9,68.5,46.66
prod_00329,unknown,2961,8.5,24.0,18.8,17.32
prod_00330,art,1827,31.9,10.5,21.8,13.79
prod_00331,health_beauty,4407,27.2,4.5,17.0,10.27
prod_00332,office_furniture,1937,44.3,26.7,8.3,51.18
prod_00333,computers_accessories,570,20.5,12.1,24.7,56.87
prod_00334,furniture_decor,1446,35.6,18.7,35.1,21.61
prod_00335,books_technical,2379,43.1,9.3,15.5,31.4
prod_00336,cds_dvds_musicals,2963,20.9,27.2,49.2,9.69
prod_00337,computers_accessories,1362,25.9,7.6,31.8,91.23
prod_00338,art,529,16.4,10.8,42.6,15.31
prod_00339,perfumery,998,45.1,3.5,30.2,38.08
prod_00340,perfumery,330,40.3,26.9,23.6,29.97
prod_00341,toys,2081,41.8,8.5,21.1,48.64
prod_00342,construction_tools,847,27.2,15.9,29.6,42.19
prod_00343,telephony,654,40.0,17.3,31.0,34.06
prod_00344,consoles_games,2226,5.3,24.4,19.5,56.52
prod_00345,garden_tools,3397,28.4,15.2,23.2,17.78
prod_00346,sports_leisure,652,63.4,12.5,61.8,30.39
prod_00347,stationery,1368,30.6,23.0,27.3,19.29
prod_00348,books_general,1032,49.7,17.1,28.7,7.31
prod_00349,unknown,3057,27.2,11.4,54.3,35.04
prod_00350,fashion_bags_accessories,1129,56.9,27.5,31.2,29.66
prod_00351,perfumery,483,19.8,17.9,25.5,42.25
prod_00352,air_conditioning,1171,37.9,5.5,41.9,24.51
prod_00353,books_general,2633,21.9,30.4,37.3,6.54
prod_00354,food_drink,984,34.8,9.1,29.1,6.85
prod_00355,christmas_supplies,714,22.9,24.3,30.4,15.8
prod_00356,luggage_accessories,1089,30.5,4.6,22.1,15.83
prod_00357,party_supplies,498,24.7,22.9,13.6,8.67
prod_00358,consoles_games,1031,42.3,5.8,34.6,39.71
prod_00359,electronics,761,38.6,15.0,10.7,49.68
prod_00360,perfumery,4940,21.5,17.6,14.0,16.27
prod_00361,auto,155,21.2,11.5,23.1,65.62
prod_00362,music,568,18.9,13.5,21.9,14.84
prod_00363,cds_dvds_musicals,713,16.9,6.7,36.5,8.7
prod_00364,air_conditioning,501,43.8,21.5,41.2,56.29
prod_00365,watches_gifts,1622,18.3,15.5,66.2,13.32
prod_00366,furniture_living_room,641,36.3,7.5,9.7,34.55
prod_00367,auto,293,23.6,15.8,32.6,27.65
prod_00368,signaling_and_security,1277,49.0,16.1,31.9,36.07
prod_00369,cool_stuff,938,71.0,13.9,29.9,52.17
prod_00370,housewares,669,5.0,2.0,34.6,21.65
prod_00371,fashion_shoes,3005,19.6,10.5,38.3,60.58
prod_00372,signaling_and_security,1662,23.4,21.3,50.0,24.77
prod_00373,christmas_supplies,1529,27.6,18.2,30.4,10.5
prod_00374,furniture_decor,1689,26.8,17.9,57.5,68.95
prod_00375,perfumery,1627,14.7,15.4,30.5,37.99
prod_00376,watches_gifts,978,71.7,22.8,20.3,33.92
prod_00377,toys,648,27.3,9.1,29.1,58.34
prod_00378,office_furniture,1299,38.6,7.9,16.2,78.04
prod_00379,baby,963,39.1,34.7,16.7,19.82
prod_00380,sports_leisure,152,12.8,8.5,24.1,16.58
prod_00381,furniture_living_room,460,25.4,5.4,22.3,94.37
prod_00382,sports_leisure,866,43.8,11.4,49.3,31.71
prod_00383,auto,2259,58.7,14.2,24.0,39.24
prod_00384,bed_bath_table,1303,25.7,22.8,15.0,33.07
prod_00385,furniture_decor,548,14.2,10.5,26.4,65.76
prod_00386,consoles_games,423,22.3,10.5,30.3,108.0
prod_00387,food_drink,2600,25.1,13.4,27.8,19.6
prod_00388,costruction_tools_garden,1015,24.6,9.4,14.5,46.08
prod_00389,computers_accessories,50,18.9,4.6,51.9,63.92
prod_00390,health_beauty,1067,13.4,5.7,9.1,12.19
prod_00391,perfumery,1929,16.4,26.4,27.6,91.14
prod_00392,market_place,410,22.4,20.1,14.3,6.37
prod_00393,music,1229,43.4,13.1,43.2,14.37
prod_00394,luggage_accessories,1319,51.6,18.2,32.6,13.85
prod_00395,fashion_bags_accessories,435,32.2,20.4,30.3,23.36
prod_00396,watches_gifts,2764,16.6,8.8,23.0,26.58
prod_00397,unknown,1337,23.1,6.6,49.7,18.33
prod_00398,watches_gifts,863,8.7,24.8,23.0,54.57
prod_00399,sports_leisure,1020,59.2,2.4,60.1,14.58
prod_00400,industry_commerce_and_business,356,21.3,18.3,16.4,48.35
prod_00401,baby,341,37.0,14.9,26.5,46.82
prod_00402,luggage_accessories,797,49.8,23.4,37.7,15.16
prod_00403,small_appliances,839,67.3,18.7,33.8,19.57
prod_00404,small_appliances,967,45.8,18.1,25.4,44.06
prod_00405,construction_tools,2931,24.5,7.1,9.8,36.05
prod_00406,luggage_accessories,1855,39.4,20.9,28.6,32.86
prod_00407,health_beauty,185,66.1,17.0,21.5,30.99
prod_00408,furniture_decor,2560,21.1,7.7,18.9,22.17
prod_00409,consoles_games,791,13.0,14.9,38.9,60.33
prod_00410,electronics,1984,19.0,6.1,8.6,48.35
prod_00411,small_appliances,846,38.1,12.0,25.9,25.55
prod_00412,music,1273,24.9,42.7,5.0,22.81
prod_00413,fashion_underwear_beach,385,29.1,6.8,33.9,6.53
prod_00414,cool_stuff,1493,41.3,4.6,39.1,19.07
prod_00415,perfumery,2145,18.7,5.8,28.4,15.14
prod_00416,music,231,28.4,11.9,20.5,23.02
prod_00417,garden_tools,2169,22.9,19.5,49.3,16.1
prod_00418,furniture_living_room,645,64.7,13.6,51.0,38.08
prod_00419,small_appliances,3575,45.1,5.1,31.1,13.22
prod_00420,music,2010,25.0,19.4,54.8,10.28
prod_00421,cds_dvds_musicals,1769,24.2,3.1,16.4,12.53
prod_00422,home_appliances,1025,68.4,5.5,24.6,71.9
prod_00423,toys,5535,65.6,9.1,6.2,19.08
prod_00424,stationery,796,38.0,24.3,13.7,6.33
prod_00425,electronics,471,29.8,14.0,13.0,60.07
prod_00426,garden_tools,665,14.8,14.3,33.8,23.23
prod_00427,pet_shop,2419,19.0,5.2,14.3,14.03
prod_00428,garden_tools,1254,14.2,9.7,8.3,31.71
prod_00429,market_place,1116,50.8,22.3,18.1,23.03
prod_00430,music,806,15.0,16.4,19.3,9.61
prod_00431,diapers_and_hygiene,1071,24.1,19.8,12.2,12.17
prod_00432,computers_accessories,760,9.8,13.1,27.3,44.11
prod_00433,costruction_tools_garden,1890,12.2,22.5,29.8,64.3
prod_00434,furniture_decor,949,42.3,5.1,10.5,118.59
prod_00435,perfumery,676,35.1,11.7,36.4,18.11
prod_00436,telephony,2281,30.3,17.9,15.8,52.24
prod_00437,watches_gifts,485,24.3,4.0,19.2,81.48
prod_00438,telephony,1268,11.3,2.0,32.8,19.18
prod_00439,health_beauty,151,22.6,34.7,19.3,14.23
prod_00440,luggage_accessories,313,27.5,14.1,13.8,21.68
prod_00441,sports_leisure,867,40.9,3.7,26.4,22.72
prod_00442,electronics,748,49.4,13.9,43.4,59.06
prod_00443,books_technical,747,42.9,5.6,40.8,17.32
prod_00444,art,2023,35.0,7.1,18.3,29.04
prod_00445,industry_commerce_and_business,2107,30.1,24.8,15.1,13.37
prod_00446,housewares,1458,33.3,9.3,16.9,10.01
prod_00447,art,461,21.8,9.2,41.0,25.0
prod_00448,market_place,1065,31.4,5.4,16.7,19.24
prod_00449,telephony,3913,27.4,10.6,53.4,15.47
prod_00450,construction_tools,5183,81.9,14.6,32.6,50.27
prod_00451,christmas_supplies,2296,33.7,9.3,24.9,29.96
prod_00452,electronics,478,8.3,39.9,18.1,72.27
prod_00453,telephony,1072,23.6,6.4,26.6,18.06
prod_00454,industry_commerce_and_business,1388,25.9,6.4,13.8,83.43
