product_id,product_cost
prod_00110,23.48
prod_00111,18.81
prod_00112,19.18
prod_00113,14.26
prod_00114,26.06
prod_00115,54.81
prod_00116,25.7
prod_00117,11.01
prod_00118,11.35
prod_00119,33.55
prod_00120,8.09
prod_00121,29.4
prod_00122,17.32
prod_00123,18.55
prod_00124,8.13
prod_00125,9.22
prod_00126,10.74
prod_00127,77.29
prod_00128,73.71
prod_00129,44.58
prod_00130,18.44
prod_00131,49.35
prod_00132,6.52
prod_00133,15.22
prod_00134,132.99
prod_00135,5.72
prod_00136,11.64
prod_00137,17.79
prod_00138,78.65
prod_00139,60.08
prod_00140,15.81
prod_00141,66.49
prod_00142,56.23
prod_00143,19.85
prod_00144,115.85
prod_00145,100.83
prod_00146,6.53
prod_00147,31.57
prod_00148,9.2
prod_00149,18.55
prod_00150,87.05
prod_00151,28.66
prod_00152,22.62
prod_00153,8.02
prod_00154,7.91
prod_00155,17.82
prod_00156,9.01
prod_00157,27.11
prod_00158,21.31
prod_00159,30.14
prod_00160,26.44
prod_00161,31.45
prod_00162,32.75
prod_00163,115.92
prod_00164,26.54
prod_00165,9.36
prod_00166,36.52
prod_00167,22.91
prod_00168,49.13
prod_00169,6.2
prod_00170,5.86
prod_00171,18.96
prod_00172,19.27
prod_00173,44.83
prod_00174,30.88
prod_00175,29.93
prod_00176,31.81
prod_00177,32.82
prod_00178,23.85
prod_00179,47.15
prod_00180,6.46
prod_00181,12.56
prod_00182,15.31
prod_00183,15.55
prod_00184,8.48
prod_00185,8.78
prod_00186,40.1
prod_00187,35.54
prod_00188,31.53
prod_00189,50.06
prod_00190,9.38
prod_00191,42.97
prod_00192,21.51
prod_00193,11.37
prod_00194,56.55
prod_00195,21.3
prod_00196,27.67
prod_00197,47.95
prod_00198,51.79
prod_00199,14.54
prod_00200,66.23
prod_00201,81.8
prod_00202,47.02
prod_00203,51.28
prod_00204,23.14
prod_00205,42.49
prod_00206,59.37
prod_00207,11.67
prod_00208,167.68
prod_00209,42.19
prod_00210,67.74
prod_00211,12.1
prod_00212,18.69
prod_00213,25.02
prod_00214,58.25
prod_00215,45.58
prod_00216,16.29
prod_00217,15.8
prod_00218,77.95
prod_00219,47.59
prod_00220,17.47
prod_00221,78.09
prod_00222,76.9
prod_00223,16.88
prod_00224,114.29
prod_00225,19.69
prod_00226,21.02
prod_00227,19.85
prod_00228,68.8
prod_00229,71.12
prod_00230,36.15
prod_00231,144.08
prod_00232,35.72
prod_00233,10.12
prod_00234,15.21
prod_00235,33.4
prod_00236,7.61
prod_00237,12.6
prod_00238,59.14
prod_00239,16.68
prod_00240,18.37
prod_00241,22.23
prod_00242,30.65
prod_00243,46.76
prod_00244,82.11
prod_00245,64.21
prod_00246,102.37
prod_00247,57.81
prod_00248,33.26
prod_00249,11.0
prod_00250,114.39
prod_00251,15.6
prod_00252,20.1
prod_00253,15.39
prod_00254,31.38
prod_00255,12.41
prod_00256,36.16
prod_00257,24.5
prod_00258,9.96
prod_00259,22.37
prod_00260,15.89
prod_00261,12.46
prod_00262,30.72
prod_00263,14.36
prod_00264,17.25
prod_00265,33.12
prod_00266,29.26
prod_00267,45.61
prod_00268,38.55
prod_00269,9.87
prod_00270,24.68
prod_00271,81.75
prod_00272,22.53
prod_00273,40.09
prod_00274,96.89
prod_00275,10.03
prod_00276,6.57
prod_00277,30.7
prod_00278,27.74
prod_00279,16.21
prod_00280,29.12
prod_00281,25.23
prod_00282,26.52
prod_00283,48.5
prod_00284,6.84
prod_00285,45.24
prod_00286,17.01
prod_00287,34.26
prod_00288,15.21
prod_00289,11.44
prod_00290,19.6
prod_00291,15.93
prod_00292,173.59
prod_00293,58.26
prod_00294,10.69
prod_00295,28.04
prod_00296,6.55
prod_00297,11.12
prod_00298,23.23
prod_00299,10.48
prod_00300,29.26
prod_00301,12.71
prod_00302,14.17
prod_00303,18.66
prod_00304,44.28
prod_00305,53.56
prod_00306,15.6
prod_00307,50.74
prod_00308,22.52
prod_00309,68.37
prod_00310,11.59
prod_00311,7.74
prod_00312,59.14
prod_00313,6.62
prod_00314,10.2
prod_00315,30.33
prod_00316,25.11
prod_00317,56.45
prod_00318,118.44
prod_00319,28.81
prod_00320,19.86
prod_00321,37.15
prod_00322,17.53
prod_00323,17.71
prod_00324,32.54
prod_00325,30.45
prod_00326,10.88
prod_00327,18.82
prod_00328,46.66
prod_00329,17.32
prod_00330,13.79
prod_00331,10.27
prod_00332,51.18
prod_00333,56.87
prod_00334,21.61
prod_00335,31.4
prod_00336,9.69
prod_00337,91.23
prod_00338,15.31
prod_00339,38.08
prod_00340,29.97
prod_00341,48.64
prod_00342,42.19
prod_00343,34.06
prod_00344,56.52
prod_00345,17.78
prod_00346,30.39
prod_00347,19.29
prod_00348,7.31
prod_00349,35.04
prod_00350,29.66
prod_00351,42.25
prod_00352,24.51
prod_00353,6.54
prod_00354,6.85
prod_00355,15.8
prod_00356,15.83
prod_00357,8.67
prod_00358,39.71
prod_00359,49.68
prod_00360,16.27
prod_00361,65.62
prod_00362,14.84
prod_00363,8.7
prod_00364,56.29
prod_00365,13.32
prod_00366,34.55
prod_00367,27.65
prod_00368,36.07
prod_00369,52.17
prod_00370,21.65
prod_00371,60.58
prod_00372,24.77
prod_00373,10.5
prod_00374,68.95
prod_00375,37.99
prod_00376,33.92
prod_00377,58.34
prod_00378,78.04
prod_00379,19.82
prod_00380,16.58
prod_00381,94.37
prod_00382,31.71
prod_00383,39.24
prod_00384,33.07
prod_00385,65.76
prod_00386,108.0
prod_00387,19.6
prod_00388,46.08
prod_00389,63.92
prod_00390,12.19
prod_00391,91.14
prod_00392,6.37
prod_00393,14.37
prod_00394,13.85
prod_00395,23.36
prod_00396,26.58
prod_00397,18.33
prod_00398,54.57
prod_00399,14.58
prod_00400,48.35
prod_00401,46.82
prod_00402,15.16
prod_00403,19.57
prod_00404,44.06
prod_00405,36.05
prod_00406,32.86
prod_00407,30.99
prod_00408,22.17
prod_00409,60.33
prod_00410,48.35
prod_00411,25.55
prod_00412,22.81
prod_00413,6.53
prod_00414,19.07
prod_00415,15.14
prod_00416,23.02
prod_00417,16.1
prod_00418,38.08
prod_00419,13.22
prod_00420,10.28
prod_00421,12.53
prod_00422,71.9
prod_00423,19.08
prod_00424,6.33
prod_00425,60.07
prod_00426,23.23
prod_00427,14.03
prod_00428,31.71
prod_00429,23.03
prod_00430,9.61
prod_00431,12.17
prod_00432,44.11
prod_00433,64.3
prod_00434,118.59
prod_00435,18.11
prod_00436,52.24
prod_00437,81.48
prod_00438,19.18
prod_00439,14.23
prod_00440,21.68
prod_00441,22.72
prod_00442,59.06
prod_00443,17.32
prod_00444,29.04
prod_00445,13.37
prod_00446,10.01
prod_00447,25.0
prod_00448,19.24
prod_00449,15.47
prod_00450,50.27
prod_00451,29.96
prod_00452,72.27
prod_00453,18.06
prod_00454,83.43
prod_00455,21.36
prod_00456,6.85
prod_00457,9.7
prod_00458,81.59
prod_00459,41.26
prod_00460,10.76
prod_00461,29.81
prod_00462,21.99
prod_00463,30.32
prod_00464,6.88
prod_00465,20.56
prod_00466,15.98
prod_00467,40.95
prod_00468,13.98
prod_00469,24.8
prod_00470,37.18
prod_00471,12.72
prod_00472,33.1
prod_00473,8.64
prod_00474,18.1
prod_00475,12.19
prod_00476,8.57
prod_00477,78.99
prod_00478,32.59
prod_00479,58.89
prod_00480,17.06
prod_00481,6.22
prod_00482,10.67
prod_00483,6.73
prod_00484,40.58
prod_00485,25.04
prod_00486,35.13
prod_00487,63.6
prod_00488,105.04
prod_00489,103.27
prod_00490,50.06
prod_00491,101.59
prod_00492,23.5
prod_00493,13.1
prod_00494,23.31
prod_00495,37.62
prod_00496,8.07
prod_00497,7.16
prod_00498,31.05
prod_00499,9.74
prod_00500,18.63
prod_00501,19.25
prod_00502,17.83
prod_00503,19.41
prod_00504,25.35
prod_00505,17.29
prod_00506,14.47
prod_00507,8.09
prod_00508,11.95
prod_00509,18.85
prod_00510,32.94
prod_00511,39.82
prod_00512,26.06
prod_00513,29.82
prod_00514,92.15
prod_00515,26.23
prod_00516,27.76
prod_00517,28.32
prod_00518,61.32
prod_00519,18.68
prod_00520,10.05
prod_00521,21.59
prod_00522,28.64
prod_00523,6.51
prod_00524,100.99
prod_00525,36.5
prod_00526,10.56
prod_00527,104.81
prod_00528,55.76
prod_00529,33.97
prod_00530,22.95
prod_00531,53.13
prod_00532,20.24
prod_00533,103.99
prod_00534,28.78
prod_00535,27.45
prod_00536,8.87
prod_00537,7.13
prod_00538,35.83
prod_00539,14.93
prod_00540,76.0
prod_00541,112.23
prod_00542,10.73
prod_00543,34.58
prod_00544,260.08
prod_00545,45.77
prod_00546,15.41
prod_00547,54.79
prod_00548,12.28
prod_00549,6.39
prod_00550,65.86
prod_00551,17.73
prod_00552,38.35
prod_00553,17.61
prod_00554,34.89
prod_00555,36.39
prod_00556,6.23
prod_00557,64.65
prod_00558,20.03
prod_00559,57.22
prod_00560,42.43
prod_00561,17.39
prod_00562,17.06
prod_00563,49.42
prod_00564,21.76
prod_00565,55.49
prod_00566,63.46
prod_00567,17.85
prod_00568,6.79
prod_00569,13.54
prod_00570,98.49
prod_00571,10.73
prod_00572,43.31
prod_00573,43.49
prod_00574,29.17
prod_00575,9.85
prod_00576,14.0
prod_00577,84.38
prod_00578,15.56
prod_00579,10.02
prod_00580,22.0
prod_00581,10.98
prod_00582,13.98
prod_00583,64.1
prod_00584,14.69
prod_00585,19.36
prod_00586,79.66
prod_00587,33.47
prod_00588,26.97
prod_00589,54.57
prod_00590,5.9
prod_00591,20.77
prod_00592,39.38
prod_00593,48.36
prod_00594,60.97
prod_00595,33.81
prod_00596,12.18
prod_00597,43.56
prod_00598,49.85
prod_00599,6.36
prod_00600,7.87
prod_00601,15.14
prod_00602,9.2
prod_00603,75.78
prod_00604,22.79
prod_00605,62.75
prod_00606,28.85
prod_00607,60.33
prod_00608,66.46
prod_00609,12.26
prod_00610,14.04
prod_00611,11.76
prod_00612,9.34
prod_00613,28.58
prod_00614,63.52
prod_00615,104.36
prod_00616,27.36
prod_00617,77.33
prod_00618,13.31
prod_00619,8.41
prod_00620,36.32
prod_00621,13.04
prod_00622,56.83
prod_00623,24.31
prod_00624,28.12
prod_00625,76.7
prod_00626,26.67
prod_00627,6.61
prod_00628,12.1
prod_00629,28.7
prod_00630,36.5
prod_00631,10.53
prod_00632,126.75
prod_00633,22.1
prod_00634,65.07
prod_00635,178.77
prod_00636,7.73
prod_00637,9.33
prod_00638,8.22
prod_00639,64.42
prod_00640,9.87
prod_00641,11.41
prod_00642,76.36
prod_00643,15.36
prod_00644,25.82
prod_00645,23.66
prod_00646,60.45
prod_00647,28.99
prod_00648,50.24
prod_00649,7.71
prod_00650,33.62
prod_00651,27.74
prod_00652,7.67
prod_00653,33.16
prod_00654,9.0
prod_00655,15.31
prod_00656,24.45
prod_00657,9.35
prod_00658,63.4
prod_00659,12.04
prod_00660,14.25
prod_00661,81.7
prod_00662,40.72
prod_00663,9.13
prod_00664,93.28
prod_00665,42.51
prod_00666,6.87
prod_00667,9.03
prod_00668,10.47
prod_00669,20.53
prod_00670,25.15
prod_00671,50.46
prod_00672,42.21
prod_00673,44.57
prod_00674,25.31
prod_00675,41.91
prod_00676,22.19
prod_00677,21.07
prod_00678,94.03
prod_00679,13.73
prod_00680,7.72
prod_00681,103.99
prod_00682,31.47
prod_00683,20.02
prod_00684,7.27
prod_00685,14.37
prod_00686,13.55
prod_00687,12.47
prod_00688,15.75
prod_00689,6.9
prod_00690,84.27
prod_00691,95.58
prod_00692,17.23
prod_00693,14.54
prod_00694,20.98
prod_00695,27.56
prod_00696,11.71
prod_00697,28.93
prod_00698,18.51
prod_00699,20.39
prod_00700,7.89
prod_00701,10.53
prod_00702,16.64
prod_00703,44.14
prod_00704,13.27
prod_00705,19.39
prod_00706,8.45
prod_00707,61.28
prod_00708,6.02
prod_00709,24.0
prod_00710,82.96
prod_00711,18.41
prod_00712,101.99
prod_00713,29.13
prod_00714,22.45
prod_00715,36.13
prod_00716,146.27
prod_00717,21.97
prod_00718,64.83
prod_00719,22.31
prod_00720,20.48
prod_00721,26.16
prod_00722,23.21
prod_00723,22.9
prod_00724,30.41
prod_00725,42.14
prod_00726,34.86
prod_00727,11.72
prod_00728,50.68
prod_00729,81.65
prod_00730,22.26
prod_00731,27.59
prod_00732,27.66
prod_00733,9.81
prod_00734,54.55
prod_00735,43.36
prod_00736,13.81
prod_00737,73.72
prod_00738,17.01
prod_00739,140.1
prod_00740,27.19
prod_00741,6.79
prod_00742,54.64
prod_00743,25.24
prod_00744,32.5
prod_00745,11.82
prod_00746,10.52
prod_00747,35.66
prod_00748,16.09
prod_00749,106.67
prod_00750,125.97
prod_00751,19.09
prod_00752,19.61
prod_00753,24.45
prod_00754,81.85
prod_00755,21.5
prod_00756,74.77
prod_00757,5.76
prod_00758,21.66
prod_00759,9.63
prod_00760,13.54
prod_00761,9.25
prod_00762,25.98
prod_00763,9.34
prod_00764,9.3
prod_00765,29.85
prod_00766,46.72
prod_00767,23.07
prod_00768,20.74
prod_00769,41.29
prod_00770,20.31
prod_00771,152.32
prod_00772,11.15
prod_00773,5.92
prod_00774,17.03
prod_00775,11.41
prod_00776,16.08
prod_00777,6.94
prod_00778,33.3
prod_00779,17.81
prod_00780,12.55
prod_00781,18.53
prod_00782,95.7
prod_00783,36.1
prod_00784,59.35
prod_00785,42.08
prod_00786,17.05
prod_00787,35.98
prod_00788,39.57
prod_00789,31.08
prod_00790,10.97
prod_00791,24.64
prod_00792,20.48
prod_00793,58.06
prod_00794,63.54
prod_00795,23.41
prod_00796,56.85
prod_00797,57.09
prod_00798,41.68
prod_00799,6.81
prod_00800,30.56
prod_00801,14.18
prod_00802,23.32
prod_00803,24.85
prod_00804,28.02
prod_00805,33.82
prod_00806,57.08
prod_00807,25.12
prod_00808,47.64
prod_00809,42.53
prod_00810,82.36
prod_00811,75.09
prod_00812,12.03
prod_00813,18.65
prod_00814,230.02
prod_00815,31.55
prod_00816,45.73
prod_00817,63.15
prod_00818,5.76
prod_00819,18.71
prod_00820,44.1
prod_00821,46.84
prod_00822,15.76
prod_00823,33.03
prod_00824,61.64
prod_00825,21.3
prod_00826,19.11
prod_00827,30.64
prod_00828,57.59
prod_00829,21.24
prod_00830,79.97
prod_00831,17.62
prod_00832,16.42
prod_00833,45.36
prod_00834,122.35
prod_00835,13.44
prod_00836,17.69
prod_00837,24.17
prod_00838,18.72
prod_00839,17.11
prod_00840,29.19
prod_00841,7.05
prod_00842,18.92
prod_00843,26.08
prod_00844,32.0
prod_00845,39.99
prod_00846,11.49
prod_00847,16.92
prod_00848,10.88
prod_00849,14.74
prod_00850,11.69
prod_00851,70.3
prod_00852,19.5
prod_00853,24.37
prod_00854,53.38
prod_00855,55.92
prod_00856,9.76
prod_00857,67.69
prod_00858,37.61
prod_00859,13.7
prod_00860,74.13
prod_00861,8.69
prod_00862,40.96
prod_00863,18.55
prod_00864,13.23
prod_00865,58.1
prod_00866,38.51
prod_00867,18.65
prod_00868,68.91
prod_00869,29.06
prod_00870,97.98
prod_00871,8.46
prod_00872,19.11
prod_00873,38.21
prod_00874,11.48
prod_00875,10.42
prod_00876,15.28
prod_00877,27.7
prod_00878,50.04
prod_00879,96.72
prod_00880,11.68
prod_00881,38.11
prod_00882,15.18
prod_00883,16.53
prod_00884,11.37
prod_00885,5.92
prod_00886,33.73
prod_00887,35.55
prod_00888,7.87
prod_00889,18.02
prod_00890,12.78
prod_00891,9.18
prod_00892,20.35
prod_00893,12.54
prod_00894,8.26
prod_00895,29.91
prod_00896,27.04
prod_00897,78.52
prod_00898,10.07
prod_00899,9.46
prod_00900,85.28
prod_00901,40.26
prod_00902,8.88
prod_00903,13.21
prod_00904,21.79
prod_00905,6.86
prod_00906,15.08
prod_00907,15.5
prod_00908,10.6
prod_00909,140.51
prod_00910,20.77
prod_00911,54.19
prod_00912,66.73
prod_00913,22.55
prod_00914,32.05
prod_00915,69.75
prod_00916,21.31
prod_00917,21.86
prod_00918,15.5
prod_00919,44.56
prod_00920,86.21
prod_00921,113.91
prod_00922,23.12
prod_00923,6.43
prod_00924,59.35
prod_00925,24.15
prod_00926,25.87
prod_00927,15.72
prod_00928,16.23
prod_00929,112.97
prod_00930,7.85
prod_00931,19.78
prod_00932,22.8
prod_00933,43.19
prod_00934,14.88
prod_00935,35.32
prod_00936,31.92
prod_00937,29.77
prod_00938,58.28
prod_00939,23.98
prod_00940,12.63
prod_00941,12.82
prod_00942,57.74
prod_00943,9.65
prod_00944,167.07
prod_00945,13.28
prod_00946,12.08
prod_00947,54.51
prod_00948,60.93
prod_00949,6.56
prod_00950,42.9
prod_00951,29.12
prod_00952,23.98
prod_00953,27.23
prod_00954,34.88
prod_00955,13.12
prod_00956,27.68
prod_00957,19.75
prod_00958,26.6
prod_00959,64.96
prod_00960,22.09
prod_00961,71.28
prod_00962,31.23
prod_00963,56.69
prod_00964,49.02
prod_00965,10.27
prod_00966,42.89
prod_00967,169.12
prod_00968,31.57
prod_00969,35.39
prod_00970,72.35
prod_00971,69.1
prod_00972,39.81
prod_00973,12.54
prod_00974,32.5
prod_00975,59.34
prod_00976,6.53
prod_00977,11.55
prod_00978,11.77
prod_00979,28.16
prod_00980,79.67
prod_00981,141.63
prod_00982,39.49
prod_00983,96.03
prod_00984,81.18
prod_00985,11.97
prod_00986,33.41
prod_00987,23.65
prod_00988,14.56
prod_00989,21.05
prod_00990,29.71
prod_00991,11.21
prod_00992,28.46
prod_00993,96.42
prod_00994,27.33
prod_00995,9.76
prod_00996,98.46
prod_00997,35.8
prod_00998,17.89
prod_00999,26.05
prod_01000,6.27
prod_01001,40.18
prod_01002,67.73
prod_01003,40.95
prod_01004,68.78
prod_01005,49.31
prod_01006,14.25
prod_01007,38.7
prod_01008,52.33
prod_01009,14.47
prod_01010,13.99
prod_01011,11.34
prod_01012,30.53
prod_01013,19.38
prod_01014,52.98
prod_01015,10.06
prod_01016,70.76
prod_01017,94.84
prod_01018,106.19
prod_01019,46.19
prod_01020,15.72
prod_01021,6.24
prod_01022,371.67
prod_01023,43.17
prod_01024,19.74
prod_01025,52.69
prod_01026,55.87
prod_01027,15.25
prod_01028,40.77
prod_01029,12.51
prod_01030,49.28
prod_01031,7.16
prod_01032,99.52
prod_01033,9.57
prod_01034,16.65
prod_01035,51.21
prod_01036,53.91
prod_01037,6.77
prod_01038,26.27
prod_01039,30.07
prod_01040,12.77
prod_01041,12.84
prod_01042,13.72
prod_01043,21.47
prod_01044,91.14
prod_01045,65.69
prod_01046,43.41
prod_01047,30.78
prod_01048,68.35
prod_01049,6.44
prod_01050,39.74
prod_01051,95.88
prod_01052,16.9
prod_01053,9.71
prod_01054,19.8
prod_01055,19.36
prod_01056,97.99
prod_01057,18.5
prod_01058,131.16
prod_01059,29.38
prod_01060,17.34
prod_01061,21.18
prod_01062,90.23
prod_01063,12.46
prod_01064,38.82
prod_01065,23.24
prod_01066,40.67
prod_01067,51.76
prod_01068,11.33
prod_01069,31.38
prod_01070,11.64
prod_01071,6.75
prod_01072,13.48
prod_01073,8.02
prod_01074,8.02
prod_01075,6.55
prod_01076,120.81
prod_01077,26.67
prod_01078,37.66
prod_01079,22.89
prod_01080,39.81
prod_01081,27.88
prod_01082,12.8
prod_01083,40.56
prod_01084,82.79
prod_01085,185.44
prod_01086,17.29
prod_01087,21.1
prod_01088,12.42
prod_01089,31.68
prod_01090,19.63
prod_01091,10.95
prod_01092,6.93
prod_01093,26.89
prod_01094,17.43
prod_01095,43.04
prod_01096,9.73
prod_01097,23.75
prod_01098,39.81
prod_01099,11.11
prod_01100,17.05
prod_01101,31.87
prod_01102,45.0
prod_01103,93.32
prod_01104,6.75
prod_01105,46.81
prod_01106,58.01
prod_01107,16.11
prod_01108,13.65
prod_01109,50.12
prod_01110,21.07
prod_01111,31.89
prod_01112,41.5
prod_01113,17.65
prod_01114,46.6
prod_01115,16.63
prod_01116,10.58
prod_01117,16.78
prod_01118,13.76
prod_01119,27.19
prod_01120,7.84
prod_01121,17.09
prod_01122,65.28
prod_01123,44.18
prod_01124,161.52
prod_01125,57.98
prod_01126,53.97
prod_01127,7.86
prod_01128,41.12
prod_01129,59.65
prod_01130,58.96
prod_01131,23.16
prod_01132,16.43
prod_01133,76.24
prod_01134,60.18
prod_01135,16.83
prod_01136,11.82
prod_01137,15.57
prod_01138,11.5
prod_01139,47.31
prod_01140,148.52
prod_01141,53.99
prod_01142,44.99
prod_01143,28.54
prod_01144,10.61
prod_01145,85.69
prod_01146,18.9
prod_01147,28.72
prod_01148,44.68
prod_01149,23.81
prod_01150,65.46
prod_01151,20.13
prod_01152,22.95
prod_01153,55.38
prod_01154,28.04
prod_01155,41.04
prod_01156,16.36
prod_01157,72.29
prod_01158,246.35
prod_01159,12.83
prod_01160,93.73
prod_01161,6.46
prod_01162,213.6
prod_01163,27.73
prod_01164,14.05
prod_01165,15.55
prod_01166,12.52
prod_01167,58.55
prod_01168,10.55
prod_01169,12.78
prod_01170,16.84
prod_01171,25.79
prod_01172,92.67
prod_01173,14.59
prod_01174,34.34
prod_01175,24.94
prod_01176,15.03
prod_01177,38.59
prod_01178,57.14
prod_01179,51.6
prod_01180,23.48
prod_01181,16.97
prod_01182,5.8
prod_01183,9.24
prod_01184,41.63
prod_01185,21.64
prod_01186,7.23
prod_01187,13.91
prod_01188,118.31
prod_01189,41.26
prod_01190,7.68
prod_01191,44.17
prod_01192,29.99
prod_01193,23.93
prod_01194,19.52
prod_01195,10.27
prod_01196,26.46
prod_01197,87.83
prod_01198,48.27
prod_01199,30.88
prod_01200,35.89
prod_01201,19.75
prod_01202,31.97
prod_01203,6.22
prod_01204,47.35
prod_01205,76.3
prod_01206,51.62
prod_01207,42.32
prod_01208,84.4
prod_01209,99.55
prod_01210,31.51
prod_01211,35.53
prod_01212,29.35
prod_01213,21.42
prod_01214,38.06
prod_01215,9.13
prod_01216,8.24
prod_01217,15.59
prod_01218,19.53
prod_01219,6.73
prod_01220,71.26
prod_01221,13.45
prod_01222,214.89
prod_01223,76.42
prod_01224,8.38
prod_01225,127.4
prod_01226,28.16
prod_01227,7.43
prod_01228,9.52
prod_01229,69.55
prod_01230,33.55
prod_01231,52.86
prod_01232,18.15
prod_01233,10.08
prod_01234,50.76
prod_01235,16.2
prod_01236,30.83
prod_01237,22.86
prod_01238,6.91
prod_01239,26.32
prod_01240,6.49
prod_01241,126.45
prod_01242,18.26
prod_01243,14.44
prod_01244,104.65
prod_01245,19.68
prod_01246,16.57
prod_01247,27.66
prod_01248,13.15
prod_01249,88.21
prod_01250,35.61
prod_01251,14.6
prod_01252,6.08
prod_01253,18.48
prod_01254,6.31
prod_01255,62.71
prod_01256,130.93
prod_01257,33.71
prod_01258,6.11
prod_01259,50.86
prod_01260,9.81
prod_01261,24.82
prod_01262,38.32
prod_01263,14.39
prod_01264,26.03
prod_01265,96.7
prod_01266,37.11
prod_01267,33.87
prod_01268,35.86
prod_01269,14.57
prod_01270,20.08
prod_01271,69.79
prod_01272,27.02
prod_01273,21.25
prod_01274,6.4
prod_01275,28.16
prod_01276,13.04
prod_01277,81.51
prod_01278,36.97
prod_01279,6.44
prod_01280,28.41
prod_01281,78.11
prod_01282,8.26
prod_01283,51.31
prod_01284,116.93
prod_01285,38.66
prod_01286,56.86
prod_01287,20.16
prod_01288,100.17
prod_01289,32.69
prod_01290,72.59
prod_01291,6.68
prod_01292,19.62
prod_01293,13.41
prod_01294,18.64
prod_01295,6.49
prod_01296,8.84
prod_01297,11.53
prod_01298,9.75
prod_01299,7.05
prod_01300,22.79
prod_01301,10.99
prod_01302,17.61
prod_01303,68.2
prod_01304,33.99
prod_01305,15.14
prod_01306,8.95
prod_01307,28.4
prod_01308,35.48
prod_01309,13.19
prod_01310,28.35
prod_01311,33.39
prod_01312,178.62
prod_01313,10.51
prod_01314,18.03
prod_01315,45.29
prod_01316,59.28
prod_01317,13.63
prod_01318,33.94
prod_01319,44.25
prod_01320,12.76
prod_01321,15.14
prod_01322,14.79
prod_01323,29.63
prod_01324,12.83
prod_01325,28.38
prod_01326,44.02
prod_01327,57.4
prod_01328,126.02
prod_01329,93.27
prod_01330,94.18
prod_01331,12.13
prod_01332,24.57
prod_01333,27.92
prod_01334,8.8
prod_01335,22.2
prod_01336,29.42
prod_01337,9.47
prod_01338,18.12
prod_01339,32.43
prod_01340,61.85
prod_01341,9.07
prod_01342,161.58
prod_01343,42.36
prod_01344,17.06
prod_01345,27.51
prod_01346,21.02
prod_01347,18.78
prod_01348,14.25
prod_01349,91.9
prod_01350,6.74
prod_01351,6.66
prod_01352,50.46
prod_01353,132.74
prod_01354,75.09
prod_01355,24.19
prod_01356,10.35
prod_01357,24.41
prod_01358,7.74
prod_01359,59.58
prod_01360,18.31
prod_01361,87.45
prod_01362,50.04
prod_01363,38.46
prod_01364,32.22
prod_01365,27.77
prod_01366,38.81
prod_01367,38.63
prod_01368,139.01
prod_01369,10.83
prod_01370,20.03
prod_01371,15.7
prod_01372,8.29
prod_01373,193.89
prod_01374,34.96
prod_01375,34.51
prod_01376,14.94
prod_01377,10.2
prod_01378,24.68
prod_01379,23.28
prod_01380,90.24
prod_01381,14.47
prod_01382,46.68
prod_01383,41.08
prod_01384,11.63
prod_01385,14.23
prod_01386,115.76
prod_01387,51.87
prod_01388,18.17
prod_01389,28.57
prod_01390,130.98
prod_01391,34.29
prod_01392,7.01
prod_01393,77.77
prod_01394,58.96
prod_01395,78.77
prod_01396,32.95
prod_01397,67.29
